country,visa_type,number
Argentina,B1/B2,61
Argentina,C1/D,1
Argentina,G4,3
Argentina,J1,1
Argentina,L1,1
Armenia,B1/B2,1
Australia,A2,66
Australia,B1/B2,83
Australia,C1/D,37
Australia,E3,19
Australia,E3D,17
Australia,E3R,11
Australia,F1,1
Australia,G4,9
Australia,H2A,2
Australia,H2B,1
Australia,J1,4
Australia,K1,5
Australia,L1,2
Australia,L2,4
Australia,M1,1
Australia,O1,2
Austria,C1/D,2
Austria,G4,1
"Bahamas, The",B1/B2,6
Bahrain,A2,2
Bahrain,B1/B2,16
Bahrain,F1,1
Bangladesh,A2,2
Bangladesh,B1/B2,7
Bangladesh,F1,1
Bangladesh,G4,7
Belarus,A1,3
Belarus,B1/B2,1
Belgium,A2,1
Belgium,B1,1
Belgium,B1/B2,5
Belgium,C1/D,5
Belize,B1/B2,1
Benin,B1/B2,2
Benin,G4,1
Bolivia,A1,1
Bolivia,B1,1
Bolivia,B1/B2,8
Bolivia,C1,1
Bolivia,G4,1
Brazil,A2,20
Brazil,B1/B2,28
Brazil,C1,2
Brazil,C1/D,2
Brazil,F1,2
Brazil,F2,3
Brazil,G4,6
Brazil,H1B,1
Brazil,H2A,23
Brazil,H4,2
Brazil,J1,4
Brazil,J2,2
Brazil,K1,2
Brazil,K2,1
Brazil,L1,4
Brazil,L2,3
Brazil,O1,2
Brazil,O3,2
British National Overseas (Hong Kong) Passport,B1/B2,7
British National Overseas (Hong Kong) Passport,C1/D,2
British National Overseas (Hong Kong) Passport,H1B,1
British National Overseas (Hong Kong) Passport,J2,1
Bulgaria,B1,2
Bulgaria,B1/B2,1
Bulgaria,C1/D,1
Bulgaria,G4,2
Bulgaria,H2A,1
Bulgaria,H2B,2
Bulgaria,J1,1
Bulgaria,NATO2,1
Burkina Faso,B1/B2,2
Burma,B1/B2,1
Burma,C1,9
Burma,D,121
Burma,F1,1
Burma,J1,1
Burundi,B1/B2,1
Cameroon,G4,2
Canada,B1/B2,2
Canada,E1,3
Canada,E2,21
Canada,G1,1
Canada,G4,6
Canada,H1B,1
Canada,H2A,2
Canada,L2,1
Canada,NATO2,7
Chad,B1/B2,1
Chile,A1,2
Chile,B1,1
Chile,B1/B2,37
Chile,C1/D,13
Chile,C3,15
Chile,F2,1
Chile,H1B1,16
Chile,H2A,2
Chile,H4,3
Chile,J1,1
Chile,J2,1
Chile,K2,1
Chile,L1,1
Chile,L2,5
China - mainland,A1,13
China - mainland,A2,2
China - mainland,B1/B2,81
China - mainland,B2,3
China - mainland,C1/D,159
China - mainland,F1,17
China - mainland,G1,3
China - mainland,G4,5
China - mainland,H1B,23
China - mainland,H4,1
China - mainland,J1,18
China - mainland,J2,1
China - mainland,L1,3
China - mainland,L2,3
China - mainland,O1,2
China - Taiwan,B1/B2,43
China - Taiwan,C1/D,48
China - Taiwan,CW1,1
