country,visa_type,number
Afghanistan,A1,12
Afghanistan,A2,30
Afghanistan,B1/B2,115
Afghanistan,B2,1
Afghanistan,F1,34
Afghanistan,F2,2
Afghanistan,G2,25
Afghanistan,G4,17
Afghanistan,J1,22
Afghanistan,J2,1
Afghanistan,K1,8
Afghanistan,K2,3
Afghanistan,L1,2
Albania,A1,1
Albania,A2,8
Albania,B1,1
Albania,B1/B2,844
Albania,B2,1
Albania,C1/D,3
Albania,F1,51
Albania,G1,6
Albania,G2,2
Albania,G4,5
Albania,H1B,5
Albania,H4,1
Albania,I,1
Albania,J1,24
Albania,J2,1
Albania,K1,11
Albania,L1,1
Albania,L2,3
Albania,M1,1
Albania,O2,1
Albania,P1,1
Albania,P3,1
Algeria,A1,12
Algeria,A2,46
Algeria,B1,26
Algeria,B1/B2,789
Algeria,C1,1
Algeria,C1/D,1
Algeria,D,5
Algeria,F1,22
Algeria,F2,2
Algeria,G1,5
Algeria,G2,4
Algeria,G4,6
Algeria,H1B,1
Algeria,I,1
Algeria,J1,24
Algeria,J2,8
Algeria,K1,5
Algeria,K2,1
Algeria,L1,2
Algeria,L2,1
Algeria,M1,3
Algeria,P1,1
Andorra,A1,2
Andorra,F1,1
Andorra,G2,1
Andorra,J1,5
Andorra,L1,1
Andorra,L2,3
Angola,A1,1
Angola,A2,8
Angola,B1,1
Angola,B1/B2,431
Angola,B2,78
Angola,C1,1
Angola,C1/D,6
Angola,C3,1
Angola,F1,89
Angola,F2,7
Angola,G1,4
Angola,G2,2
Angola,G4,1
Angola,H1B,2
Angola,J1,4
Angola,L1,5
Angola,L2,10
Anguilla,B1/B2,1
Anguilla,B2,1
Antigua and Barbuda,A2,2
Antigua and Barbuda,B1/B2,194
Antigua and Barbuda,B2,34
Antigua and Barbuda,C3,3
Antigua and Barbuda,F1,16
Antigua and Barbuda,H1B,1
Antigua and Barbuda,L1,1
Antigua and Barbuda,L2,2
Antigua and Barbuda,M1,1
Antigua and Barbuda,P1,2
Argentina,A1,3
Argentina,A2,93
Argentina,B1,7
Argentina,B2,4
Argentina,C1,2
Argentina,C1/D,102
Argentina,C3,6
Argentina,E1,5
Argentina,E2,83
Argentina,F1,164
Argentina,F2,8
Argentina,G1,3
Argentina,G2,3
Argentina,G4,36
Argentina,G5,1
Argentina,H1B,20
Argentina,H2B,2
Argentina,H3,1
Argentina,H4,6
Argentina,I,7
Argentina,J1,164
Argentina,J2,40
Argentina,K1,6
Argentina,K2,2
Argentina,L1,71
Argentina,L2,70
Argentina,M1,6
Argentina,O1,26
Argentina,O2,8
Argentina,O3,5
Argentina,P1,22
Argentina,P3,7
Argentina,P4,2
Argentina,R1,2
Argentina,TD,2
Armenia,A1,4
Armenia,A2,15
Armenia,B1,23
Armenia,B1/B2,568
Armenia,B2,5
Armenia,C1/D,1
Armenia,E2,4
Armenia,F1,15
Armenia,F2,1
Armenia,G2,3
Armenia,G4,5
Armenia,G5,1
Armenia,H1B,3
Armenia,H4,1
Armenia,J1,14
Armenia,J2,4
Armenia,K1,18
Armenia,K2,1
Armenia,L2,1
Armenia,O1,6
Armenia,O3,5
Armenia,P3,3
Armenia,R2,2
Australia,A1,5
Australia,A2,329
Australia,A3,1
Australia,B1,8
Australia,B2,1
Australia,C1/D,258
Australia,C3,45
Australia,E1,1
Australia,E2,22
Australia,E3,568
Australia,E3D,345
Australia,E3R,218
Australia,F1,335
Australia,F2,2
Australia,G1,1
Australia,G2,15
Australia,G4,38
Australia,H1B,23
Australia,H2B,1
Australia,H4,17
Australia,I,38
Australia,J1,257
Australia,J2,43
Australia,K1,22
Australia,L1,146
Australia,L2,148
Australia,M1,32
Australia,M2,3
Australia,O1,92
Australia,O2,40
Australia,O3,16
Australia,P1,66
Australia,P2,1
Australia,P3,2
Australia,P4,6
Australia,R1,7
Australia,R2,3
Austria,A2,24
Austria,B1,17
Austria,B1/B2,222
Austria,C1/D,70
Austria,E1,4
Austria,E2,24
Austria,F1,70
Austria,G1,1
Austria,G2,2
Austria,G4,11
Austria,H1B,10
Austria,H4,2
Austria,I,15
Austria,J1,172
Austria,J2,11
Austria,K1,2
Austria,L1,28
Austria,L2,22
Austria,M1,6
Austria,O1,18
Austria,O3,6
Austria,P1,8
Austria,P3,4
Austria,R1,4
Azerbaijan,A1,8
Azerbaijan,A2,16
Azerbaijan,B1,1
Azerbaijan,B1/B2,595
Azerbaijan,B2,1
Azerbaijan,C1/D,31
Azerbaijan,E2,8
