country,visa_type,number
Afghanistan,A1,6
Afghanistan,A2,5
Afghanistan,B1,1
Afghanistan,B1/B2,174
Afghanistan,B2,1
Afghanistan,F1,13
Afghanistan,F2,8
Afghanistan,G1,3
Afghanistan,G2,1
Afghanistan,G4,7
Afghanistan,H1B,2
Afghanistan,J1,11
Afghanistan,J2,0
Afghanistan,K1,10
Afghanistan,K2,1
Afghanistan,O1,1
Afghanistan,O2,1
Afghanistan,O3,3
Afghanistan,P3,1
Albania,A2,12
Albania,C1/D,10
Albania,F1,63
Albania,F2,0
Albania,G1,1
Albania,H1B,8
Albania,J1,9
Albania,K1,11
Albania,L1,1
Albania,L2,2
Albania,P3,3
Albania,R1,1
Algeria,B1,1
Algeria,C1,1
Algeria,D,3
Algeria,F1,11
Algeria,G1,2
Algeria,G2,0
Algeria,G4,0
Algeria,H1B,2
Algeria,H4,0
Algeria,J1,13
Algeria,J2,1
Algeria,K1,9
Algeria,L1,3
Algeria,L2,3
Algeria,M1,0
Algeria,P3,1
Andorra,J1,2
Angola,A1,7
Angola,A2,10
Angola,B1,0
Angola,B1/B2,288
Angola,B2,33
Angola,C1/D,9
Angola,F1,64
Angola,F2,0
Angola,G1,6
Angola,G4,1
Angola,H1B,1
Angola,J1,6
Angola,J2,4
Angola,L1,6
Angola,L2,7
Angola,O1,1
Anguilla,B1/B2,4
Anguilla,F1,1
Antigua and Barbuda,A2,2
Antigua and Barbuda,B1/B2,186
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,6
Antigua and Barbuda,G1,1
Antigua and Barbuda,H1B,2
Antigua and Barbuda,H4,0
Antigua and Barbuda,J1,1
Argentina,A1,1
Argentina,A2,6
Argentina,B1,18
Argentina,B2,7
Argentina,C1,1
Argentina,C1/D,94
Argentina,E1,8
Argentina,E2,36
Argentina,F1,167
Argentina,F2,15
Argentina,G2,7
Argentina,G4,21
Argentina,H1B,46
Argentina,H2B,6
Argentina,H4,15
Argentina,I,3
Argentina,J1,416
Argentina,J2,29
Argentina,K1,9
Argentina,L1,104
Argentina,L2,153
Argentina,M1,3
Argentina,O1,35
Argentina,O2,1
Argentina,O3,24
Argentina,P1,46
Argentina,P3,1
Argentina,P4,25
Argentina,R1,3
Armenia,A1,2
Armenia,A2,9
Armenia,B1,0
Armenia,B1/B2,831
Armenia,B2,3
Armenia,E2,7
Armenia,F1,6
