country,visa_type,number
Afghanistan,A1,26
Afghanistan,A2,6
Afghanistan,B1/B2,16
Afghanistan,F1,10
Afghanistan,F2,6
Afghanistan,G1,4
Afghanistan,G4,6
Afghanistan,K1,19
Albania,A1,3
Albania,A2,8
Albania,B1/B2,255
Albania,C1/D,3
Albania,F1,57
Albania,F2,2
Albania,G4,2
Albania,J1,6
Albania,K1,16
Albania,K2,2
Albania,R2,1
Algeria,A1,1
Algeria,A2,3
Algeria,B1/B2,14
Algeria,D,7
Algeria,F1,13
Algeria,G1,2
Algeria,G4,2
Algeria,J1,7
Algeria,J2,4
Algeria,K1,1
Andorra,J1,1
Angola,A1,13
Angola,A2,1
Angola,B1/B2,26
Angola,B2,2
Angola,C1/D,6
Angola,F1,17
Angola,F2,1
Angola,G1,1
Angola,G4,5
Angola,I,3
Antigua and Barbuda,A1,3
Antigua and Barbuda,B1/B2,22
Antigua and Barbuda,F1,10
Antigua and Barbuda,G1,1
Antigua and Barbuda,J1,1
Argentina,A1,10
Argentina,A2,7
Argentina,B1,3
Argentina,B1/B2,104
Argentina,BBBCC,1
Argentina,C1,2
Argentina,C1/D,16
Argentina,C3,14
Argentina,E2,1
Argentina,F1,122
Argentina,F2,11
Argentina,G1,4
Argentina,G4,26
Argentina,H1B,6
Argentina,H2B,15
Argentina,J1,47
Argentina,J2,3
Argentina,K1,6
Argentina,L1,4
Argentina,L2,2
Argentina,M2,2
Argentina,O1,8
Argentina,O3,4
Argentina,P1,27
Argentina,P4,10
Argentina,R1,1
Argentina,R2,2
Armenia,A1,6
Armenia,B1/B2,8
Armenia,B2,1
Armenia,F1,2
Armenia,G1,6
Armenia,G4,4
Armenia,J1,3
Armenia,K1,8
Australia,A1,14
Australia,A2,196
Australia,B1,9
Australia,B1/B2,124
Australia,B2,2
Australia,C1/D,38
Australia,C3,2
Australia,E1,2
Australia,E2,7
Australia,E3,211
Australia,E3D,137
Australia,E3R,86
Australia,F1,156
Australia,F2,2
Australia,G1,7
Australia,G4,14
Australia,H1B,4
Australia,H2B,2
Australia,H3,1
Australia,H4,4
Australia,I,9
Australia,J1,36
Australia,J2,7
Australia,K1,11
Australia,K2,1
Australia,L1,9
Australia,L2,15
Australia,M1,4
Australia,O1,31
Australia,O2,7
Australia,O3,4
Australia,P1,12
Australia,R1,4
Australia,R2,1
Australia,TD,2
Austria,A1,4
Austria,A2,4
Austria,B1/B2,135
Austria,C1/D,5
Austria,E1,1
Austria,E2,32
Austria,F1,25
Austria,F2,1
Austria,G2,1
Austria,G3,1
Austria,G4,4
Austria,H1B,7
Austria,I,2
Austria,J1,75
Austria,J2,1
Austria,K1,1
Austria,L1,9
Austria,L2,7
Austria,O1,2
Austria,P1,1
Azerbaijan,A2,13
Azerbaijan,A3,1
Azerbaijan,B1,1
Azerbaijan,B1/B2,25
Azerbaijan,C1/D,22
Azerbaijan,F1,39
Azerbaijan,F2,8
Azerbaijan,G1,2
Azerbaijan,G4,4
Azerbaijan,H1B,1
Azerbaijan,J1,3
Azerbaijan,J2,3
"Bahamas, The",A2,2
"Bahamas, The",B1/B2,147
"Bahamas, The",B2,1
"Bahamas, The",C1,1
"Bahamas, The",C1/D,1
"Bahamas, The",C3,2
"Bahamas, The",F1,100
"Bahamas, The",F2,1
"Bahamas, The",H1B,2
"Bahamas, The",J1,3
"Bahamas, The",J2,1
"Bahamas, The",M1,4
Bahrain,A1,3
Bahrain,A2,6
Bahrain,B1/B2,45
Bahrain,B2,3
Bahrain,E2,1
Bahrain,F1,13
Bahrain,J1,1
Bahrain,M1,1
Bangladesh,A1,4
Bangladesh,A2,7
Bangladesh,B1,1
Bangladesh,B1/B2,540
Bangladesh,C1/D,49
Bangladesh,F1,743
Bangladesh,F2,144
Bangladesh,G1,8
Bangladesh,G4,25
Bangladesh,H1B,2
Bangladesh,H4,1
Bangladesh,J1,12
Bangladesh,J2,25
Barbados,A3,1
Barbados,B1/B2,143
Barbados,F1,13
Barbados,F2,1
Barbados,G4,2
Barbados,H1B,1
Barbados,J1,1
Barbados,K1,1
Barbados,O1,4
Belarus,B1/B2,38
Belarus,C1/D,15
Belarus,F1,20
Belarus,F2,1
Belarus,G1,1
Belarus,G4,3
Belarus,J1,2
Belarus,M1,1
Belarus,P1,1
Belgium,A2,4
Belgium,B1,7
Belgium,B1/B2,16
Belgium,C1/D,26
Belgium,D,1
Belgium,E2,25
Belgium,F1,80
Belgium,F2,4
Belgium,G4,3
Belgium,H1B,6
Belgium,I,3
Belgium,J1,39
Belgium,J2,10
Belgium,K1,1
Belgium,L1,12
Belgium,L2,9
Belgium,M1,13
Belgium,NATO2,66
Belgium,O1,2
Belgium,O3,1
Belgium,P1,1
Belize,A2,6
Belize,B1/B2,55
Belize,B2,1
Belize,C1,1
Belize,C3,3
Belize,F1,21
Belize,H1B,1
Belize,J1,1
Benin,A1,4
Benin,A2,1
Benin,B1/B2,1
Benin,D,1
Benin,F1,11
Benin,J1,1
Benin,K1,1
Benin,K2,2
Bermuda,B1/B2,5
Bermuda,F1,1
Bermuda,K1,1
Bhutan,F1,6
Bhutan,F2,3
Bhutan,G1,3
Bhutan,G4,4
Bhutan,J2,1
Bolivia,A1,1
Bolivia,A2,3
Bolivia,B1,1
Bolivia,B1/B2,765
Bolivia,C1/D,5
Bolivia,C3,1
Bolivia,F1,60
Bolivia,G1,1
Bolivia,G4,7
Bolivia,H1B,1
Bolivia,H4,3
Bolivia,J1,9
Bosnia-Herzegovina,A2,2
Bosnia-Herzegovina,B1/B2,2
Bosnia-Herzegovina,C1/D,17
Bosnia-Herzegovina,F1,14
Bosnia-Herzegovina,G4,1
Bosnia-Herzegovina,K1,11
Bosnia-Herzegovina,K2,1
Botswana,A2,5
Botswana,B1/B2,1
Botswana,F1,1
Botswana,J1,1
Brazil,A1,21
Brazil,A2,153
Brazil,B1/B2,130
Brazil,C1,6
Brazil,C1/D,175
Brazil,C3,6
Brazil,E2,1
Brazil,E3D,1
Brazil,F1,141
Brazil,F2,19
Brazil,G1,11
Brazil,G4,23
Brazil,H1B,12
Brazil,H4,14
Brazil,J1,149
Brazil,J2,33
Brazil,K1,2
Brazil,L1,33
Brazil,L2,52
Brazil,O1,12
Brazil,O2,1
Brazil,O3,15
Brazil,P1,9
Brazil,P4,1
Brazil,R1,3
Brazil,R2,2
British National Overseas (Hong Kong) Passport,B1/B2,165
British National Overseas (Hong Kong) Passport,C1/D,4
British National Overseas (Hong Kong) Passport,F1,2
British National Overseas (Hong Kong) Passport,H1B,3
British National Overseas (Hong Kong) Passport,K1,2
British National Overseas (Hong Kong) Passport,TD,1
British Virgin Islands,F1,1
Brunei,F1,1
Brunei,J1,1
Bulgaria,B1,3
Bulgaria,B1/B2,98
Bulgaria,C1/D,52
Bulgaria,E2,7
Bulgaria,F1,4
Bulgaria,G2,1
Bulgaria,G4,4
Bulgaria,H2B,24
Bulgaria,K1,1
Bulgaria,L1,1
Bulgaria,NATO2,5
Bulgaria,O1,1
Bulgaria,O3,3
Burkina Faso,A1,1
Burkina Faso,A2,2
Burkina Faso,F1,18
Burkina Faso,F2,3
Burkina Faso,G1,3
Burkina Faso,G2,3
Burkina Faso,G4,1
Burkina Faso,J1,5
Burkina Faso,K1,1
Burma,A1,9
Burma,B1/B2,7
Burma,C1,49
Burma,D,215
Burma,F1,86
Burma,F2,7
Burma,G4,1
Burma,J1,8
Burma,K1,4
Burma,M1,1
Burundi,A1,6
Burundi,B1/B2,1
Burundi,F1,3
Burundi,G1,1
Burundi,G4,3
Burundi,K1,3
Cabo Verde,A1,1
Cabo Verde,A2,2
Cabo Verde,B1/B2,5
Cabo Verde,C1/D,2
Cabo Verde,F1,3
Cabo Verde,G1,1
Cabo Verde,G4,1
Cambodia,A1,8
Cambodia,B1/B2,44
Cambodia,F1,21
Cambodia,G1,10
Cambodia,G4,5
Cambodia,J1,1
Cambodia,K1,17
Cambodia,K2,3
Cameroon,A1,2
Cameroon,A2,9
Cameroon,B1,2
Cameroon,B1/B2,12
Cameroon,F1,66
Cameroon,F2,2
Cameroon,G4,10
Cameroon,J1,9
Cameroon,J2,2
Cameroon,K1,19
Cameroon,R1,2
Canada,A1,11
Canada,A2,6
Canada,B1/B2,2
Canada,E1,16
Canada,E2,96
Canada,E3D,1
Canada,F1,9
Canada,F2,2
Canada,G4,31
Canada,H1B,1
Canada,I,1
Canada,J2,2
Canada,K1,31
Canada,L2,5
Canada,NATO2,15
Canada,P2,1
Canada,TN,2
Cayman Islands,B1/B2,16
Cayman Islands,F1,1
Central African Republic,A1,4
Central African Republic,A2,8
Central African Republic,G1,2
Central African Republic,G4,1
Central African Republic,K1,1
Chad,A2,3
Chad,B1/B2,22
Chad,F1,2
Chad,G4,4
Chad,K1,1
Chile,A1,7
Chile,A2,36
Chile,B1,84
Chile,B1/B2,78
Chile,C1,6
Chile,C1/D,28
Chile,C3,38
Chile,E2,28
Chile,F1,280
Chile,F2,141
Chile,G1,1
Chile,G4,11
Chile,H1B,5
Chile,H1B1,107
Chile,H2A,1
Chile,H4,71
Chile,I,1
Chile,J1,166
Chile,J2,22
Chile,K1,1
Chile,L1,3
Chile,L2,11
Chile,M1,2
Chile,O1,4
Chile,O3,4
Chile,P1,2
Chile,TD,3
China - mainland,A1,19
China - mainland,A2,5
China - mainland,B1/B2,82
China - mainland,C1,14
China - mainland,C1/D,627
China - mainland,C3,2
China - mainland,E2,4
China - mainland,F1,468
China - mainland,F2,15
China - mainland,G1,11
China - mainland,G4,26
China - mainland,H1B,180
China - mainland,H4,75
China - mainland,J1,65
China - mainland,J2,19
China - mainland,K1,10
China - mainland,L1,26
China - mainland,L2,20
China - mainland,O1,2
China - mainland,O2,1
China - mainland,O3,1
China - mainland,R1,1
China - mainland,TD,1
China - Taiwan,A2,2
China - Taiwan,B1/B2,109
China - Taiwan,C1/D,212
China - Taiwan,E1,68
China - Taiwan,E2,52
China - Taiwan,F1,258
China - Taiwan,F2,11
China - Taiwan,G1,1
China - Taiwan,G4,3
China - Taiwan,H1B,75
China - Taiwan,H4,18
China - Taiwan,I,4
China - Taiwan,J1,32
China - Taiwan,J2,6
China - Taiwan,K1,11
China - Taiwan,L1,13
China - Taiwan,L2,12
China - Taiwan,M1,9
China - Taiwan,O1,6
China - Taiwan,O2,2
China - Taiwan,O3,1
China - Taiwan,P1,2
Colombia,A1,7
Colombia,A2,186
Colombia,B1,3
Colombia,B1/B2,998
Colombia,C1,22
Colombia,C1/D,50
Colombia,D,1
Colombia,E1,1
Colombia,E2,1
Colombia,F1,288
Colombia,F2,12
Colombia,G1,9
Colombia,G4,32
Colombia,H1B,11
Colombia,H4,8
Colombia,I,2
Colombia,J1,65
Colombia,J2,19
Colombia,K1,24
Colombia,K2,7
Colombia,L1,7
Colombia,L2,7
Colombia,M1,14
Colombia,O1,6
Colombia,O3,1
Colombia,P1,3
Colombia,P4,2
Colombia,R1,2
"Congo, Democratic Republic of the",A1,1
"Congo, Democratic Republic of the",A2,11
"Congo, Democratic Republic of the",B1/B2,26
"Congo, Democratic Republic of the",F1,99
"Congo, Democratic Republic of the",F2,4
"Congo, Democratic Republic of the",G4,1
"Congo, Democratic Republic of the",K1,4
"Congo, Democratic Republic of the",R1,2
"Congo, Republic of the",A2,1
"Congo, Republic of the",B1,1
"Congo, Republic of the",B2,1
"Congo, Republic of the",C1,1
"Congo, Republic of the",F1,1
"Congo, Republic of the",G1,8
