country,visa_type,number
Afghanistan,A1,11
Afghanistan,A2,15
Afghanistan,B1/B2,102
Afghanistan,F1,2
Afghanistan,G1,2
Afghanistan,G2,8
Afghanistan,G4,20
Afghanistan,J1,9
Afghanistan,K1,15
Albania,A2,20
Albania,B1,3
Albania,B1/B2,865
Albania,C1/D,7
Albania,E2,5
Albania,F1,10
Albania,G1,1
Albania,G2,10
Albania,G4,3
Albania,H1B,3
Albania,I,1
Albania,J1,6
Albania,J2,1
Albania,K1,8
Albania,P3,3
Algeria,A1,1
Algeria,A2,3
Algeria,B1,1
Algeria,C1,2
Algeria,D,11
Algeria,G1,1
Algeria,G2,1
Algeria,G4,5
Algeria,G5,1
Algeria,J1,7
Algeria,J2,4
Algeria,K1,9
Algeria,L1,3
Algeria,L2,3
Andorra,L2,1
Angola,A1,4
Angola,A2,6
Angola,B1/B2,226
Angola,B2,37
Angola,C1/D,10
Angola,F1,7
Angola,G1,7
Angola,G2,21
Angola,G4,3
Angola,J1,5
Angola,L1,2
Angola,L2,3
Angola,M1,2
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,211
Antigua and Barbuda,C1/D,3
Antigua and Barbuda,C3,1
Antigua and Barbuda,G2,1
Antigua and Barbuda,H1B,2
Antigua and Barbuda,M1,1
Argentina,A2,13
Argentina,B1,17
Argentina,B2,6
Argentina,C1,2
Argentina,C1/D,99
Argentina,C3,3
Argentina,E1,9
Argentina,E2,62
Argentina,E3D,1
Argentina,F1,50
Argentina,F2,1
Argentina,G1,2
Argentina,G2,7
Argentina,G4,31
Argentina,H1B,14
Argentina,H2A,3
Argentina,H4,7
Argentina,I,5
Argentina,J1,103
Argentina,J2,5
Argentina,K1,8
Argentina,K2,1
Argentina,L1,54
Argentina,L2,47
Argentina,M1,4
Argentina,O1,16
Argentina,O2,21
Argentina,O3,11
Argentina,P1,36
Argentina,P3,7
Argentina,P4,9
Argentina,R1,6
Argentina,R2,2
Armenia,A2,7
Armenia,B1,2
Armenia,B1/B2,844
Armenia,E2,1
Armenia,F1,1
Armenia,F2,1
Armenia,G2,1
Armenia,H1B,3
Armenia,J1,18
Armenia,K1,29
Armenia,K2,1
Armenia,L2,1
Armenia,O1,1
Armenia,P3,2
Australia,A1,10
Australia,A2,416
Australia,B1,18
Australia,B1/B2,796
Australia,B2,6
Australia,C1,4
Australia,C1/D,170
Australia,C3,10
Australia,E1,1
Australia,E2,46
Australia,E3,416
Australia,E3D,254
Australia,E3R,248
Australia,F1,18
Australia,F2,3
Australia,G1,1
Australia,G2,2
Australia,G4,21
Australia,H1B,41
Australia,H2A,1
Australia,H2B,1
Australia,H3,1
Australia,H4,16
Australia,I,23
Australia,J1,302
Australia,J2,17
Australia,K1,32
Australia,K2,2
Australia,L1,101
Australia,L2,94
Australia,M1,9
Australia,NATO2,1
Australia,O1,51
Australia,O2,36
Australia,O3,9
Australia,P1,50
Australia,P3,1
Australia,P4,6
Australia,R1,3
Austria,A2,31
Austria,B1,2
Austria,B1/B2,225
Austria,B2,1
Austria,C1/D,65
Austria,E2,13
Austria,F1,16
Austria,G1,1
Austria,G2,2
Austria,G4,6
Austria,H1B,6
Austria,H4,1
Austria,I,16
Austria,J1,69
Austria,J2,4
Austria,K1,7
Austria,L1,24
Austria,L2,6
Austria,M1,5
Austria,NATO6,1
Austria,O1,13
Austria,O2,2
Austria,O3,1
Austria,P1,114
Austria,P3,1
Austria,Q1,1
Austria,R1,1
Austria,R2,2
Azerbaijan,A2,17
Azerbaijan,B1,2
Azerbaijan,B1/B2,491
Azerbaijan,C1/D,39
Azerbaijan,C3,1
Azerbaijan,E2,7
Azerbaijan,F1,9
Azerbaijan,F2,2
Azerbaijan,G1,3
Azerbaijan,G2,11
Azerbaijan,G4,3
Azerbaijan,G5,1
Azerbaijan,I,1
Azerbaijan,J1,5
Azerbaijan,J2,4
Azerbaijan,K1,4
Azerbaijan,L1,1
Azerbaijan,O1,1
"Bahamas, The",A2,5
"Bahamas, The",B1/B2,767
"Bahamas, The",C1/D,14
"Bahamas, The",C3,1
"Bahamas, The",F1,4
"Bahamas, The",G4,1
"Bahamas, The",H1B,2
"Bahamas, The",J1,2
"Bahamas, The",M1,4
"Bahamas, The",P1,3
"Bahamas, The",R1,2
Bahrain,A1,1
Bahrain,A2,19
Bahrain,B1/B2,237
Bahrain,B2,1
Bahrain,C1,1
Bahrain,J1,2
Bahrain,J2,1
Bangladesh,A2,98
Bangladesh,B2,2
Bangladesh,C1/D,87
Bangladesh,C3,1
Bangladesh,CW1,1
Bangladesh,E3D,1
Bangladesh,F1,17
Bangladesh,F2,48
Bangladesh,G1,4
Bangladesh,G2,26
Bangladesh,G4,23
Bangladesh,H1B,27
Bangladesh,H4,21
Bangladesh,J1,15
Bangladesh,J2,9
Bangladesh,K1,3
Bangladesh,L1,1
Bangladesh,L2,1
Bangladesh,O1,2
Bangladesh,O3,1
Bangladesh,R1,4
Barbados,A1,3
Barbados,A2,13
Barbados,B1/B2,799
Barbados,C1/D,3
Barbados,F1,1
Barbados,H1B,2
Barbados,H2B,1
Barbados,L1,1
Barbados,L2,3
Belarus,A2,2
Belarus,B1,7
Belarus,C1/D,59
Belarus,F1,4
Belarus,G1,3
Belarus,G2,6
Belarus,G4,11
Belarus,H1B,3
Belarus,H4,5
Belarus,J1,30
Belarus,K1,8
Belarus,K2,2
Belarus,L1,14
Belarus,L2,16
Belarus,O1,3
Belarus,O3,4
Belarus,P1,8
Belarus,P4,1
Belgium,A1,4
Belgium,A2,17
Belgium,B1,6
Belgium,B1/B2,243
Belgium,C1,3
Belgium,C1/D,126
Belgium,C3,11
Belgium,E1,1
Belgium,E2,13
Belgium,F1,11
Belgium,G2,4
Belgium,G3,2
Belgium,G4,16
Belgium,H1B,7
Belgium,H4,1
Belgium,I,21
Belgium,J1,39
Belgium,J2,9
Belgium,K1,8
Belgium,L1,46
Belgium,L2,25
Belgium,M1,9
Belgium,NATO2,150
Belgium,NATO4,2
Belgium,O1,4
Belgium,O2,7
Belgium,P1,84
Belgium,TD,1
Belize,A1,1
Belize,A2,25
Belize,B1/B2,219
Belize,C1,7
Belize,C1/D,2
Belize,C3,13
Belize,F1,1
Belize,F2,1
Belize,G4,1
Belize,J1,1
Belize,K1,1
Belize,M1,1
Belize,TD,1
Benin,A1,1
Benin,A2,2
Benin,B1/B2,99
Benin,C1,2
Benin,C3,1
Benin,D,1
Benin,F1,4
Benin,G2,2
Benin,G4,2
Benin,J1,1
Benin,K1,1
Bermuda,B1/B2,16
Bermuda,F1,1
Bermuda,H1B,1
Bermuda,I,1
Bhutan,A2,3
Bhutan,B1/B2,27
Bhutan,G2,1
