country,visa_type,number
Afghanistan,A1,1
Afghanistan,B1/B2,14
Afghanistan,G1,5
Afghanistan,G4,5
Afghanistan,J1,1
Afghanistan,K1,2
Albania,A2,3
Albania,F1,2
Albania,NATO2,5
Algeria,G4,6
Angola,A2,1
Antigua and Barbuda,J1,4
Argentina,A1,2
Argentina,A2,19
Argentina,B1/B2,49
Argentina,C1,1
Argentina,C1/D,3
Argentina,F1,2
Argentina,G1,1
Argentina,G4,11
Argentina,H1B,1
Argentina,H2B,2
Argentina,I,1
Argentina,J1,10
Argentina,J2,5
Argentina,K1,3
Argentina,L1,6
Argentina,L2,10
Argentina,M1,4
Argentina,O1,1
Argentina,O3,1
Argentina,P1,1
Argentina,R1,1
Armenia,G4,4
Armenia,J1,1
Australia,A1,9
Australia,A2,143
Australia,B1,4
Australia,B1/B2,64
Australia,C1/D,48
Australia,E2,14
Australia,E3,61
Australia,E3D,23
Australia,E3R,34
Australia,F1,5
Australia,G4,8
Australia,H1B,1
Australia,H2A,1
Australia,I,2
Australia,J1,12
Australia,J2,4
Australia,K1,2
Australia,K2,1
Australia,L1,8
Australia,L2,12
Australia,O1,4
Australia,P1,3
Austria,A1,11
Austria,A2,3
Austria,B1/B2,3
Austria,C1/D,5
Austria,F1,1
Austria,G1,4
Austria,G4,8
Austria,J1,2
Austria,L1,1
Azerbaijan,A2,25
Azerbaijan,B1/B2,1
"Bahamas, The",A1,2
"Bahamas, The",B1/B2,45
"Bahamas, The",C1/D,1
"Bahamas, The",F1,1
"Bahamas, The",G4,2
"Bahamas, The",H1B,1
"Bahamas, The",J1,5
"Bahamas, The",P1,1
Bahrain,A1,1
Bahrain,B1/B2,9
Bahrain,F1,1
Bahrain,J1,1
Bahrain,J2,1
Bangladesh,A2,13
Bangladesh,B1/B2,145
Bangladesh,C1/D,2
Bangladesh,F1,1
Bangladesh,G1,3
Bangladesh,G4,3
Bangladesh,J1,5
Bangladesh,J2,4
Barbados,A1,1
Barbados,A2,2
Barbados,B1/B2,15
Barbados,F1,3
Barbados,G4,1
Barbados,J1,2
Barbados,J2,1
Belarus,A1,1
Belarus,B1/B2,4
Belarus,C1/D,10
Belarus,G4,3
Belarus,H1B,1
Belarus,H4,3
Belarus,K1,1
Belarus,K2,1
Belarus,O1,1
Belgium,A1,10
Belgium,A2,4
Belgium,B1/B2,10
Belgium,C1/D,12
Belgium,F1,1
Belgium,G1,1
Belgium,G4,6
Belgium,H1B,1
Belgium,J1,1
Belgium,L1,1
Belgium,L2,1
Belgium,NATO2,9
Belgium,O1,1
Belgium,P1,2
Belgium,P4,1
Belize,B1/B2,11
Belize,G4,3
Belize,H2A,2
Benin,A1,2
Benin,B1/B2,3
Bermuda,B1/B2,1
Bolivia,A2,9
Bolivia,B1/B2,83
Bolivia,C3,3
Bolivia,G4,6
Bolivia,H4,1
Bolivia,L1,1
Bolivia,L2,1
Bolivia,NATO7,1
Bosnia-Herzegovina,A2,6
Bosnia-Herzegovina,B1,1
Bosnia-Herzegovina,C1/D,3
Bosnia-Herzegovina,G1,1
Bosnia-Herzegovina,G4,2
Bosnia-Herzegovina,H4,1
Bosnia-Herzegovina,J1,1
Botswana,C3,4
Botswana,J1,1
Brazil,A1,11
Brazil,A2,100
Brazil,B1/B2,13
Brazil,C1/D,5
Brazil,C3,5
Brazil,F1,4
Brazil,F2,1
Brazil,G1,9
Brazil,G2,1
Brazil,G4,12
Brazil,J1,10
Brazil,J2,6
Brazil,L1,2
Brazil,L2,1
Brazil,O1,2
Brazil,O2,1
Brazil,R1,1
British National Overseas (Hong Kong) Passport,B1/B2,10
British National Overseas (Hong Kong) Passport,C1/D,2
British Virgin Islands,B1/B2,1
Brunei,F1,1
Bulgaria,A1,1
Bulgaria,A2,7
Bulgaria,B1,2
Bulgaria,B1/B2,58
Bulgaria,B2,1
Bulgaria,C1/D,40
Bulgaria,G1,2
Bulgaria,G4,6
Bulgaria,H1B,1
Bulgaria,H2B,23
Bulgaria,H4,2
Bulgaria,J1,1
Bulgaria,NATO2,7
Burkina Faso,G4,1
Burma,A1,1
Burma,B1/B2,11
Burma,C1,59
Burma,D,233
Burma,F1,3
Burma,G4,2
Burma,H1B,3
Burma,H4,3
Burma,J1,3
Cambodia,A1,4
Cambodia,B1/B2,20
Cambodia,F1,1
Cambodia,G1,4
Cambodia,K1,6
Cameroon,A2,5
Cameroon,B1/B2,1
Cameroon,C1/D,2
Cameroon,F1,1
Cameroon,G4,9
Cameroon,H1B,1
Cameroon,J1,1
Cameroon,P1,1
Canada,A1,21
Canada,A2,2
Canada,B1,2
Canada,C1/D,1
Canada,E1,2
Canada,E2,8
Canada,G1,1
Canada,G4,23
Canada,J1,1
Canada,J2,1
Canada,L2,1
Canada,NATO2,51
Canada,NATO6,4
Canada,TN,1
Cayman Islands,B1/B2,2
Central African Republic,G1,3
Chile,A1,6
Chile,A2,13
Chile,B1/B2,39
Chile,C1/D,29
Chile,C3,8
Chile,F1,3
Chile,G2,1
Chile,G4,14
Chile,H1B,2
Chile,H1B1,10
Chile,H4,15
Chile,J1,7
Chile,J2,1
Chile,L2,6
China - mainland,A1,12
China - mainland,A2,25
China - mainland,B1/B2,30
China - mainland,B2,3
China - mainland,C1,1
China - mainland,C1/D,435
China - mainland,C3,3
China - mainland,F1,8
China - mainland,G1,1
China - mainland,G4,29
China - mainland,H1B,13
China - mainland,H4,3
China - mainland,J1,8
China - mainland,L1,4
China - mainland,L2,1
China - mainland,O3,1
China - Taiwan,B1/B2,19
China - Taiwan,C1/D,199
China - Taiwan,E1,85
China - Taiwan,E2,1
China - Taiwan,F1,18
China - Taiwan,G4,2
China - Taiwan,H1B,4
China - Taiwan,H4,1
China - Taiwan,J1,18
China - Taiwan,J2,9
