country,visa_type,number
Afghanistan,A1,16
Afghanistan,A2,2
Afghanistan,B1/B2,96
Afghanistan,F1,2
Afghanistan,G1,11
Afghanistan,G4,16
Afghanistan,H1B,1
Afghanistan,J1,3
Afghanistan,K1,10
Albania,A1,1
Albania,A2,8
Albania,B1,1
Albania,B1/B2,745
Albania,C1/D,2
Albania,F1,1
Albania,G4,1
Albania,J1,13
Albania,K1,9
Albania,O1,2
Albania,P3,4
Algeria,A1,2
Algeria,B1/B2,689
Algeria,C1,2
Algeria,D,6
Algeria,F1,3
Algeria,G2,2
Algeria,G4,3
Algeria,H1B,1
Algeria,J1,5
Algeria,K1,6
Algeria,L1,1
Angola,A1,3
Angola,A2,6
Angola,B1,1
Angola,B1/B2,129
Angola,B2,9
Angola,C1,1
Angola,C1/D,3
Angola,F1,5
Angola,G2,4
Angola,J1,2
Angola,K1,1
Angola,L1,8
Angola,L2,4
Anguilla,B1/B2,1
Antigua and Barbuda,B1/B2,152
Antigua and Barbuda,B2,1
Antigua and Barbuda,G4,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,J1,2
Antigua and Barbuda,L1,1
Antigua and Barbuda,L2,2
Argentina,A2,19
Argentina,B1,15
Argentina,B2,5
Argentina,C1,1
Argentina,C1/D,40
Argentina,E1,8
Argentina,E2,28
Argentina,F1,23
Argentina,F2,4
Argentina,G1,1
Argentina,G2,6
Argentina,G4,12
Argentina,G5,2
Argentina,H1B,15
Argentina,H2A,1
Argentina,H2B,2
Argentina,H4,7
Argentina,I,1
Argentina,J1,81
Argentina,J2,7
Argentina,K1,7
Argentina,L1,42
Argentina,L2,45
Argentina,M1,1
Argentina,O1,6
Argentina,O2,1
Argentina,O3,5
Argentina,P1,15
Argentina,P3,2
Argentina,P4,7
Armenia,A1,1
Armenia,A2,3
Armenia,B1,1
Armenia,B1/B2,438
Armenia,B2,1
Armenia,F1,1
Armenia,G2,2
Armenia,G4,12
Armenia,H1B,1
Armenia,I,5
Armenia,J1,7
Armenia,K1,9
Armenia,L1,1
Armenia,O1,1
Armenia,P3,2
Australia,A1,9
Australia,A2,291
Australia,B1,9
Australia,B1/B2,534
Australia,B2,2
Australia,C1,3
Australia,C1/D,128
Australia,C3,2
Australia,E2,17
Australia,E3,307
Australia,E3D,179
Australia,E3R,181
Australia,F1,16
Australia,G1,2
Australia,G2,2
Australia,G4,6
Australia,H1B,28
Australia,H2B,1
Australia,H4,9
Australia,I,7
Australia,J1,255
Australia,J2,8
Australia,K1,27
Australia,L1,58
Australia,L2,54
Australia,M1,4
Australia,O1,38
Australia,O2,22
Australia,O3,4
Australia,P1,30
Australia,P2,2
Australia,P3,3
Australia,R1,1
Austria,A1,1
Austria,A2,9
Austria,B1/B2,98
Austria,C1/D,15
Austria,E2,4
Austria,F1,7
Austria,F2,1
Austria,G2,1
Austria,G4,5
Austria,H4,1
Austria,J1,24
Austria,L1,13
Austria,L2,2
Austria,M1,1
Austria,O1,5
Austria,O2,5
Austria,P1,1
Azerbaijan,A1,5
Azerbaijan,A2,20
Azerbaijan,B1,2
Azerbaijan,B1/B2,229
Azerbaijan,C1/D,18
