country,visa_type,number
Afghanistan,A1,15
Afghanistan,A2,22
Afghanistan,B1/B2,171
Afghanistan,F1,9
Afghanistan,G1,5
Afghanistan,G2,2
Afghanistan,G4,25
Afghanistan,H1B,1
Afghanistan,J1,51
Afghanistan,J2,1
Afghanistan,K1,10
Albania,A1,1
Albania,A2,36
Albania,B1,4
Albania,B1/B2,930
Albania,C1/D,6
Albania,F1,34
Albania,G1,5
Albania,G2,4
Albania,G4,11
Albania,H4,2
Albania,I,4
Albania,J1,216
Albania,J2,2
Albania,K1,14
Albania,L1,2
Albania,L2,1
Albania,O1,1
Albania,O2,1
Algeria,A1,9
Algeria,A2,2
Algeria,C1,1
Algeria,D,8
Algeria,F1,8
Algeria,F2,5
Algeria,G2,1
Algeria,G4,2
Algeria,H4,1
Algeria,J1,17
Algeria,J2,2
Algeria,K1,8
Algeria,L1,3
Algeria,O3,1
Algeria,P3,1
Angola,A1,9
Angola,A2,19
Angola,B1,3
Angola,B1/B2,283
Angola,B2,28
Angola,C1/D,12
Angola,F1,31
Angola,G1,7
Angola,G2,3
Angola,G4,2
Angola,J1,1
Angola,K1,1
Angola,L1,2
Angola,L2,3
Angola,M1,1
Anguilla,J1,1
Antigua and Barbuda,A2,4
Antigua and Barbuda,B1/B2,424
Antigua and Barbuda,B2,1
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,5
Antigua and Barbuda,I,1
Antigua and Barbuda,J1,7
Antigua and Barbuda,M1,1
Argentina,A1,6
Argentina,A2,38
Argentina,A3,1
Argentina,B1,25
Argentina,B2,7
Argentina,C1,3
Argentina,C1/D,117
Argentina,C3,7
Argentina,E1,3
Argentina,E2,57
Argentina,F1,136
Argentina,F2,8
Argentina,G1,2
Argentina,G2,3
Argentina,G4,30
Argentina,H1B,25
Argentina,H2B,2
Argentina,H4,6
Argentina,I,2
Argentina,J1,245
Argentina,J2,22
Argentina,K1,13
Argentina,K2,2
Argentina,L1,66
Argentina,L2,61
Argentina,M1,10
Argentina,O1,22
Argentina,O2,12
Argentina,O3,10
Argentina,P1,47
Argentina,P3,3
Argentina,P4,7
Argentina,R1,2
Argentina,R2,2
Armenia,A1,2
Armenia,A2,13
Armenia,B1,4
Armenia,B1/B2,812
Armenia,B2,8
Armenia,E2,3
Armenia,F1,12
Armenia,F2,4
Armenia,G2,2
Armenia,H1B,4
Armenia,H4,3
Armenia,I,1
Armenia,J1,89
Armenia,J2,1
Armenia,K1,20
Armenia,L1,3
Armenia,L2,3
Armenia,O1,2
Armenia,P3,7
Australia,A1,7
Australia,A2,593
Australia,A3,1
Australia,B1,21
Australia,B1/B2,913
Australia,B2,4
Australia,C1,1
Australia,C1/D,207
Australia,C3,64
Australia,E2,39
Australia,E3,564
Australia,E3D,236
Australia,E3R,262
Australia,F1,386
Australia,F2,9
Australia,G1,5
Australia,G2,5
Australia,G4,31
Australia,H1B,47
Australia,H2A,3
Australia,H2B,1
Australia,H3,4
Australia,H4,20
Australia,I,35
Australia,J1,931
Australia,J2,39
Australia,K1,41
Australia,K2,2
Australia,L1,146
Australia,L2,143
Australia,M1,26
Australia,M2,1
Australia,O1,62
Australia,O2,21
Australia,O3,14
Australia,P1,57
Australia,P3,2
Australia,P4,3
Australia,R1,6
Australia,TD,1
Austria,A1,6
Austria,A2,28
Austria,B1,2
Austria,B1/B2,186
Austria,C1/D,33
Austria,E1,2
Austria,E2,27
Austria,F1,65
Austria,G1,4
Austria,G4,4
Austria,H1B,4
Austria,H4,1
Austria,I,9
Austria,J1,223
Austria,J2,4
Austria,K1,1
Austria,L1,31
Austria,L2,7
Austria,M1,6
Austria,O1,9
Austria,O2,2
Austria,O3,1
Austria,P1,10
