country,visa_type,number
Nonimmigrant Visa Issuances By Nationality -,November,2017
Afghanistan,A1,5
Afghanistan,A2,31
Afghanistan,B1/B2,132
Afghanistan,F1,6
Afghanistan,F2,1
Afghanistan,G1,1
Afghanistan,G4,5
Afghanistan,I,1
Afghanistan,J1,5
Afghanistan,K1,17
Afghanistan,P1,1
Afghanistan,TD,1
Albania,A1,1
Albania,A2,15
Albania,B1,1
Albania,C1/D,10
Albania,F1,13
Albania,F2,5
Albania,G4,1
Albania,H1B,3
Albania,I,3
Albania,J1,4
Albania,J2,1
Albania,K1,4
Albania,L1,2
Albania,NATO2,6
Albania,P3,13
Algeria,A2,10
Algeria,B1/B2,966
Algeria,B2,4
Algeria,C1,1
Algeria,C1/D,2
Algeria,C3,5
Algeria,D,4
Algeria,F1,9
Algeria,G4,9
Algeria,H4,1
Algeria,J1,11
Algeria,J2,1
Algeria,K1,7
Nonimmigrant Visa Issuances By Nationality -,November,2017
Algeria,L1,1
Algeria,O1,1
Algeria,P1,1
Algeria,P3,1
Angola,A1,3
Angola,A2,12
Angola,B1,1
Angola,B1/B2,510
Angola,B2,105
Angola,C1/D,3
Angola,F1,11
Angola,F2,1
Angola,G1,1
Angola,G2,2
Angola,G4,1
Angola,I,2
Angola,J1,2
Antigua and Barbuda,B1/B2,175
Antigua and Barbuda,B2,23
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,C3,1
Antigua and Barbuda,H1B,1
Argentina,A2,76
Argentina,B1,8
Argentina,C1,2
Argentina,C1/D,50
Argentina,E1,5
Argentina,E2,31
Argentina,F1,109
Argentina,F2,5
Argentina,G2,4
Argentina,G4,34
Argentina,H1B,18
Argentina,H2B,13
Argentina,H4,5
Argentina,I,2
Argentina,J2,5
Argentina,K1,2
Argentina,K2,1
Nonimmigrant Visa Issuances By Nationality -,November,2017
Argentina,L1,44
Argentina,L2,64
Argentina,M1,3
Argentina,O1,5
Argentina,O2,1
Argentina,O3,7
Argentina,P1,17
Argentina,P3,1
Argentina,P4,18
Argentina,R1,5
Argentina,R2,3
Armenia,A2,16
Armenia,B1,24
Armenia,B1/B2,676
Armenia,B2,3
Armenia,E2,1
Armenia,F1,2
Armenia,F2,1
Armenia,G2,5
Armenia,G4,2
Armenia,H1B,1
Armenia,H4,3
Armenia,J1,1
Armenia,K1,8
Armenia,K2,1
Armenia,L1,1
Armenia,L2,3
Armenia,O1,4
Armenia,O3,3
Armenia,P1,1
Armenia,P3,13
Australia,A1,17
Australia,A2,370
Australia,B1,7
Australia,B2,2
Australia,C1,3
Australia,C1/D,234
Australia,C3,14
Australia,E1,7
Australia,E2,29
Nonimmigrant Visa Issuances By Nationality -,November,2017
Australia,E3,392
Australia,E3D,299
Australia,E3R,285
Australia,F1,139
Australia,F2,3
Australia,G1,7
Australia,G2,4
Australia,G3,1
Australia,G4,13
Australia,H1B,33
Australia,H2B,12
Australia,H4,18
Australia,I,14
Australia,J1,428
Australia,J2,19
Australia,K1,25
Australia,L1,116
Australia,L2,118
Australia,M1,4
Australia,O1,48
Australia,O2,13
Australia,O3,11
Australia,P1,32
Australia,P3,3
Australia,R1,4
Australia,R2,1
Australia,U3,1
Austria,A2,5
Austria,B1,13
Austria,B1/B2,175
Austria,B2,1
Austria,C1/D,57
Austria,E1,1
Austria,E2,22
Austria,F1,35
Austria,G1,1
Austria,G2,4
Austria,G4,11
Austria,H1B,4
Austria,H4,1
Austria,I,8
Nonimmigrant Visa Issuances By Nationality -,November,2017
Austria,J1,150
Austria,J2,4
Austria,L1,17
Austria,L2,4
Austria,M1,6
Austria,O1,2
Austria,O2,3
Austria,P1,2
Austria,Q1,4
Austria,R1,1
Azerbaijan,A1,2
Azerbaijan,A2,43
Azerbaijan,B1,1
Azerbaijan,B1/B2,507
Azerbaijan,B2,1
Azerbaijan,C1/D,30
Azerbaijan,F1,12
Azerbaijan,G2,2
Azerbaijan,G4,8
Azerbaijan,H1B,4
Azerbaijan,I,1
Azerbaijan,J1,10
Azerbaijan,J2,5
Azerbaijan,K1,1
Azerbaijan,L1,1
Azerbaijan,L2,3
Azerbaijan,M1,1
"Bahamas, The",A1,12
"Bahamas, The",A2,5
"Bahamas, The",B1,1
"Bahamas, The",B1/B2,595
"Bahamas, The",C1/D,5
"Bahamas, The",C3,10
"Bahamas, The",F1,22
"Bahamas, The",H1B,3
"Bahamas, The",L1,1
"Bahamas, The",L2,2
"Bahamas, The",M1,4
"Bahamas, The",O1,1
"Bahamas, The",P1,2
Bahrain,A1,1
Nonimmigrant Visa Issuances By Nationality -,November,2017
Bahrain,A2,42
Bahrain,B1,2
Bahrain,B1/B2,214
Bahrain,B2,30
Bahrain,C1/D,2
Bahrain,F1,4
Bahrain,F2,1
Bahrain,J1,4
Bahrain,J2,1
Bangladesh,A2,47
Bangladesh,B1,6
Bangladesh,B1/B2,887
Bangladesh,B2,3
Bangladesh,C1/D,41
Bangladesh,C3,3
Bangladesh,F1,87
Bangladesh,F2,36
Bangladesh,G1,15
Bangladesh,G2,8
Bangladesh,G4,29
Bangladesh,H1B,11
Bangladesh,H4,10
Bangladesh,I,1
Bangladesh,J1,11
Bangladesh,J2,7
Bangladesh,K1,1
Bangladesh,L1,2
Bangladesh,P3,3
Bangladesh,R1,1
Barbados,A2,1
Barbados,B1,2
Barbados,B1/B2,595
Barbados,B2,37
Barbados,C1/D,4
Barbados,C3,5
Barbados,F1,4
Barbados,H1B,2
Barbados,J1,4
Barbados,O2,1
Belarus,A1,1
Belarus,A2,1
Nonimmigrant Visa Issuances By Nationality -,November,2017
Belarus,B1,6
Belarus,B2,1
Belarus,C1/D,59
Belarus,C3,1
Belarus,F1,10
Belarus,F2,1
Belarus,G4,2
Belarus,H1B,4
Belarus,J1,5
Belarus,J2,3
Belarus,K1,4
Belarus,K2,1
Belarus,L1,19
Belarus,L2,27
Belarus,O1,2
Belarus,O3,2
Belarus,P1,4
Belgium,A1,1
Belgium,A2,17
Belgium,B1/B2,166
Belgium,C1/D,53
Belgium,C3,1
Belgium,E2,9
Belgium,F1,23
Belgium,G2,7
Belgium,G4,13
Belgium,H1B,7
Belgium,H2B,2
Belgium,I,4
Belgium,J1,41
Belgium,J2,13
Belgium,K1,4
Belgium,L1,30
Belgium,L2,25
Belgium,M1,3
Belgium,NATO2,41
Belgium,O1,11
Belgium,O2,3
Belgium,O3,4
Belgium,P1,8
Nonimmigrant Visa Issuances By Nationality -,November,2017
Belgium,P3,1
Belgium,R2,4
Belize,A2,1
Belize,B1/B2,208
Belize,C1,4
Belize,C1/D,4
Belize,C3,4
Belize,F1,6
Belize,H1B,1
Belize,H2A,2
Belize,H2B,1
Belize,J1,1
Belize,K1,3
Belize,K2,1
Belize,P3,1
Benin,A1,6
Benin,A2,8
Benin,B1/B2,91
Benin,F1,1
Benin,G1,1
Benin,G2,2
Benin,G4,2
Benin,J1,3
Benin,O1,1
Bermuda,B1/B2,17
Bermuda,F1,1
