country,visa_type,number
Afghanistan,A1,6
Afghanistan,A2,31
Afghanistan,B1/B2,143
Afghanistan,D,1
Afghanistan,F1,4
Afghanistan,F2,2
Afghanistan,G2,12
Afghanistan,G4,7
Afghanistan,J1,8
Afghanistan,K1,21
Afghanistan,M1,1
Afghanistan,P3,1
Albania,A1,4
Albania,A2,17
Albania,B1/B2,791
Albania,C1/D,16
Albania,C2,1
Albania,E2,1
Albania,E3D,1
Albania,F1,24
Albania,F2,4
Albania,G1,4
Albania,G2,13
Albania,G4,4
Albania,H1B,5
Albania,H4,4
Albania,I,1
Albania,J1,9
Albania,K1,13
Albania,L1,1
Albania,M1,2
Albania,P1,1
Algeria,A2,17
Algeria,B1/B2,797
Algeria,C1,3
Algeria,D,8
Algeria,F1,10
Algeria,F2,1
Algeria,G1,2
Algeria,G2,16
Algeria,G4,8
Algeria,I,4
Algeria,J1,11
Algeria,J2,4
Algeria,K1,4
Algeria,L1,3
Algeria,L2,1
Algeria,M1,1
Algeria,R1,1
Algeria,R2,1
Algeria,TD,1
Andorra,F1,1
Angola,A1,7
Angola,A2,24
Angola,B1,1
Angola,B1/B2,224
Angola,B2,14
Angola,C1/D,2
Angola,F1,13
Angola,G1,14
Angola,G2,71
Angola,G4,6
Angola,I,3
Angola,J1,1
Angola,K1,1
Angola,L1,1
Angola,L2,2
Angola,M1,1
Angola,O1,1
Antigua and Barbuda,B1/B2,166
Antigua and Barbuda,F1,12
Antigua and Barbuda,H1B,1
Argentina,A1,5
Argentina,A2,66
Argentina,B1,15
Argentina,B2,5
Argentina,C1,4
Argentina,C1/D,73
Argentina,C3,4
Argentina,E1,5
Argentina,E2,37
Argentina,E3D,1
Argentina,F1,55
Argentina,F2,16
Argentina,G2,11
Argentina,G4,35
Argentina,G5,2
Argentina,H1B,22
Argentina,H2B,3
Argentina,H4,8
Argentina,I,3
Argentina,J1,150
Argentina,J2,8
Argentina,K1,4
Argentina,L1,57
Argentina,L2,43
Argentina,M1,1
Argentina,O1,15
Argentina,O2,9
Argentina,O3,6
Argentina,P1,15
Argentina,P3,22
Argentina,P4,2
Argentina,R1,6
Argentina,R2,4
Armenia,A2,27
Armenia,B1,1
Armenia,B1/B2,667
Armenia,B2,2
Armenia,C1,1
Armenia,D,1
Armenia,F1,7
Armenia,G2,5
Armenia,G4,6
Armenia,H1B,6
Armenia,H4,1
Armenia,I,7
Armenia,J1,12
Armenia,K1,15
Armenia,L1,1
Armenia,O1,2
Armenia,P1,1
Armenia,P3,13
Armenia,P4,1
Australia,A1,8
Australia,A2,455
Australia,B1,25
Australia,B1/B2,739
Australia,B2,7
Australia,C1,3
Australia,C1/D,241
Australia,C3,33
Australia,E1,1
Australia,E2,35
Australia,E3,488
Australia,E3D,238
Australia,E3R,230
Australia,F1,35
Australia,F2,1
Australia,G1,2
Australia,G2,17
Australia,G4,26
Australia,H1B,28
Australia,H2A,1
Australia,H2B,4
Australia,H4,7
Australia,I,25
Australia,J1,85
Australia,J2,11
Australia,K1,40
Australia,L1,95
Australia,L2,92
Australia,M1,5
Australia,M2,1
Australia,O1,62
Australia,O2,43
Australia,O3,8
Australia,P1,65
Australia,P2,1
Australia,P3,6
Australia,P4,6
Australia,R1,9
Australia,R2,3
Austria,A1,4
Austria,A2,27
Austria,B1,3
Austria,B1/B2,173
Austria,C1/D,36
Austria,E1,2
Austria,E2,31
Austria,F1,17
Austria,G2,3
Austria,G3,1
Austria,G4,11
Austria,H1B,10
Austria,H2B,1
Austria,H4,3
Austria,I,8
Austria,J1,85
Austria,J2,1
Austria,K1,4
Austria,L1,35
Austria,L2,8
Austria,M1,9
Austria,O1,10
Austria,O2,3
Austria,P1,25
Austria,P3,4
Austria,Q1,2
Austria,R1,1
Azerbaijan,A1,9
Azerbaijan,A2,30
Azerbaijan,A3,1
Azerbaijan,B1,11
Azerbaijan,B1/B2,540
Azerbaijan,C1/D,34
Azerbaijan,C3,2
Azerbaijan,E2,11
Azerbaijan,F1,24
Azerbaijan,F2,1
Azerbaijan,G2,19
Azerbaijan,G4,9
Azerbaijan,H1B,4
Azerbaijan,H4,5
Azerbaijan,I,3
Azerbaijan,J1,31
Azerbaijan,J2,5
Azerbaijan,K1,1
Azerbaijan,L1,1
Azerbaijan,L2,5
Azerbaijan,O1,1
"Bahamas, The",A1,4
"Bahamas, The",A2,9
"Bahamas, The",B1/B2,727
"Bahamas, The",B2,7
"Bahamas, The",C1/D,5
"Bahamas, The",C3,1
"Bahamas, The",F1,60
"Bahamas, The",G2,7
"Bahamas, The",H1B,8
"Bahamas, The",J1,1
"Bahamas, The",J2,1
"Bahamas, The",K1,3
"Bahamas, The",L1,2
"Bahamas, The",L2,1
"Bahamas, The",M1,6
"Bahamas, The",O1,1
"Bahamas, The",P1,3
Bahrain,A1,1
Bahrain,A2,31
Bahrain,B1/B2,349
Bahrain,B2,4
Bahrain,C1/D,2
Bahrain,F1,2
Bahrain,G1,1
Bahrain,G2,16
Bahrain,H1B,1
Bahrain,J1,5
Bahrain,L1,1
Bahrain,O1,1
Bangladesh,A1,1
Bangladesh,A2,120
Bangladesh,B1,2
Bangladesh,B2,4
Bangladesh,C1,2
Bangladesh,C1/D,53
Bangladesh,C3,1
Bangladesh,E2,1
Bangladesh,F1,14
Bangladesh,F2,24
Bangladesh,G1,3
Bangladesh,G2,83
Bangladesh,G4,28
Bangladesh,H1B,17
Bangladesh,H3,1
Bangladesh,H4,9
Bangladesh,I,44
Bangladesh,J1,19
Bangladesh,J2,14
Bangladesh,K1,4
Bangladesh,L1,1
Bangladesh,L2,4
Barbados,A1,3
Barbados,A2,6
Barbados,B1/B2,673
Barbados,C1/D,1
Barbados,C3,3
Barbados,G2,1
Barbados,G4,3
Barbados,H1B,3
Barbados,H4,1
Barbados,J1,2
Barbados,K1,1
Barbados,O1,1
Belarus,A1,2
Belarus,A2,8
Belarus,B1,7
Belarus,B2,2
Belarus,C1/D,64
Belarus,D,2
Belarus,F1,9
Belarus,F2,1
Belarus,G2,16
Belarus,G4,2
Belarus,H1B,3
Belarus,H4,7
Belarus,I,3
Belarus,J1,14
Belarus,J2,3
Belarus,K1,5
Belarus,K2,1
Belarus,L1,30
Belarus,L2,27
Belarus,O1,3
Belarus,O3,1
Belarus,P1,4
Belgium,A1,1
Belgium,A2,14
Belgium,B1,10
Belgium,B1/B2,160
Belgium,C1/D,62
Belgium,E2,18
Belgium,E3D,1
Belgium,F1,20
Belgium,G2,14
Belgium,G3,6
Belgium,G4,17
Belgium,H1B,8
Belgium,H4,6
Belgium,I,8
Belgium,J1,64
Belgium,J2,9
Belgium,K1,5
Belgium,K2,1
Belgium,L1,38
Belgium,L2,18
Belgium,M1,1
Belgium,NATO2,38
Belgium,NATO4,2
Belgium,O1,13
Belgium,O2,3
Belgium,O3,4
Belgium,P1,34
Belize,A2,14
Belize,B1/B2,295
Belize,C1,5
Belize,C1/D,2
Belize,C3,20
Belize,F1,4
Belize,H1B,1
Belize,H2B,4
Belize,J1,12
Belize,K1,4
Belize,K2,3
Belize,P3,1
Benin,A2,3
Benin,B1,2
Benin,B1/B2,149
Benin,B2,1
Benin,F1,12
Benin,G2,4
Benin,G4,2
Benin,J1,2
Benin,P1,7
Benin,R1,1
Bermuda,B1/B2,8
Bermuda,F1,3
Bermuda,H1B,3
Bermuda,J1,1
Bhutan,A1,4
Bhutan,A2,5
Bhutan,B1/B2,35
Bhutan,C1,1
Bhutan,C3,2
Bhutan,G1,5
Bhutan,G2,16
Bhutan,J1,1
Bhutan,J2,1
Bhutan,M1,4
Bolivia,A1,8
Bolivia,A2,24
Bolivia,B1,1
Bolivia,C1,5
Bolivia,C1/D,29
Bolivia,F1,13
Bolivia,G2,10
Bolivia,G4,16
Bolivia,H1B,5
Bolivia,H4,5
Bolivia,J1,15
Bolivia,J2,2
Bolivia,K1,5
Bolivia,K2,2
Bolivia,L1,1
Bolivia,L2,5
Bolivia,M1,2
Bolivia,O1,1
Bolivia,TD,1
Bosnia-Herzegovina,A1,5
