,country,visa_type,number
0,Afghanistan,A1,26
1,Afghanistan,A2,6
2,Afghanistan,B1/B2,16
3,Afghanistan,F1,10
4,Afghanistan,F2,6
5,Afghanistan,G1,4
6,Afghanistan,G4,6
7,Afghanistan,K1,19
8,Albania,A1,3
9,Albania,A2,8
10,Albania,B1/B2,255
11,Albania,C1/D,3
12,Albania,F1,57
13,Albania,F2,2
14,Albania,G4,2
15,Albania,J1,6
16,Albania,K1,16
17,Albania,K2,2
18,Albania,R2,1
19,Algeria,A1,1
20,Algeria,A2,3
21,Algeria,B1/B2,14
22,Algeria,D,7
23,Algeria,F1,13
24,Algeria,G1,2
25,Algeria,G4,2
26,Algeria,J1,7
27,Algeria,J2,4
28,Algeria,K1,1
29,Andorra,J1,1
30,Angola,A1,13
31,Angola,A2,1
32,Angola,B1/B2,26
33,Angola,B2,2
34,Angola,C1/D,6
35,Angola,F1,17
36,Angola,F2,1
37,Angola,G1,1
38,Angola,G4,5
39,Angola,I,3
40,Antigua And Barbuda,A1,3
41,Antigua And Barbuda,B1/B2,22
42,Antigua And Barbuda,F1,10
43,Antigua And Barbuda,G1,1
44,Antigua And Barbuda,J1,1
45,Argentina,A1,10
46,Argentina,A2,7
47,Argentina,B1,3
48,Argentina,B1/B2,104
49,Argentina,BBBCC,1
50,Argentina,C1,2
51,Argentina,C1/D,16
52,Argentina,C3,14
53,Argentina,E2,1
54,Argentina,F1,122
55,Argentina,F2,11
56,Argentina,G1,4
57,Argentina,G4,26
58,Argentina,H1B,6
59,Argentina,H2B,15
60,Argentina,J1,47
61,Argentina,J2,3
62,Argentina,K1,6
63,Argentina,L1,4
64,Argentina,L2,2
65,Argentina,M2,2
66,Argentina,O1,8
67,Argentina,O3,4
68,Argentina,P1,27
69,Argentina,P4,10
70,Argentina,R1,1
71,Argentina,R2,2
72,Armenia,A1,6
73,Armenia,B1/B2,8
74,Armenia,B2,1
75,Armenia,F1,2
76,Armenia,G1,6
77,Armenia,G4,4
78,Armenia,J1,3
79,Armenia,K1,8
80,Australia,A1,14
81,Australia,A2,196
82,Australia,B1,9
83,Australia,B1/B2,124
84,Australia,B2,2
85,Australia,C1/D,38
86,Australia,C3,2
87,Australia,E1,2
88,Australia,E2,7
89,Australia,E3,211
90,Australia,E3D,137
91,Australia,E3R,86
92,Australia,F1,156
93,Australia,F2,2
94,Australia,G1,7
95,Australia,G4,14
96,Australia,H1B,4
97,Australia,H2B,2
98,Australia,H3,1
99,Australia,H4,4
100,Australia,I,9
101,Australia,J1,36
102,Australia,J2,7
103,Australia,K1,11
104,Australia,K2,1
105,Australia,L1,9
106,Australia,L2,15
107,Australia,M1,4
108,Australia,O1,31
109,Australia,O2,7
110,Australia,O3,4
111,Australia,P1,12
112,Australia,R1,4
113,Australia,R2,1
114,Australia,TD,2
115,Austria,A1,4
116,Austria,A2,4
117,Austria,B1/B2,135
118,Austria,C1/D,5
119,Austria,E1,1
120,Austria,E2,32
121,Austria,F1,25
122,Austria,F2,1
123,Austria,G2,1
124,Austria,G3,1
125,Austria,G4,4
126,Austria,H1B,7
127,Austria,I,2
128,Austria,J1,75
129,Austria,J2,1
130,Austria,K1,1
131,Austria,L1,9
132,Austria,L2,7
133,Austria,O1,2
134,Austria,P1,1
135,Azerbaijan,A2,13
136,Azerbaijan,A3,1
137,Azerbaijan,B1,1
138,Azerbaijan,B1/B2,25
139,Azerbaijan,C1/D,22
140,Azerbaijan,F1,39
141,Azerbaijan,F2,8
142,Azerbaijan,G1,2
143,Azerbaijan,G4,4
144,Azerbaijan,H1B,1
145,Azerbaijan,J1,3
146,Azerbaijan,J2,3
147,"Bahamas, The",A2,2
148,"Bahamas, The",B1/B2,147
149,"Bahamas, The",B2,1
150,"Bahamas, The",C1,1
151,"Bahamas, The",C1/D,1
152,"Bahamas, The",C3,2
153,"Bahamas, The",F1,100
154,"Bahamas, The",F2,1
155,"Bahamas, The",H1B,2
156,"Bahamas, The",J1,3
157,"Bahamas, The",J2,1
158,"Bahamas, The",M1,4
159,Bahrain,A1,3
160,Bahrain,A2,6
161,Bahrain,B1/B2,45
162,Bahrain,B2,3
163,Bahrain,E2,1
164,Bahrain,F1,13
165,Bahrain,J1,1
166,Bahrain,M1,1
