date,country,visa_type,number
2017-03-01,Afghanistan,A1,14
2017-03-01,Afghanistan,A2,42
2017-03-01,Afghanistan,B1,1
2017-03-01,Afghanistan,B1/B2,87
2017-03-01,Afghanistan,F2,1
2017-03-01,Afghanistan,G2,2
2017-03-01,Afghanistan,G4,9
2017-03-01,Afghanistan,H4,3
2017-03-01,Afghanistan,J1,13
2017-03-01,Afghanistan,J2,3
2017-03-01,Afghanistan,K1,8
2017-03-01,Albania,A2,7
2017-03-01,Albania,B1,1
2017-03-01,Albania,B1/B2,895
2017-03-01,Albania,C1/D,2
2017-03-01,Albania,E2,9
2017-03-01,Albania,F1,6
2017-03-01,Albania,G2,6
2017-03-01,Albania,G4,9
2017-03-01,Albania,H1B,1
2017-03-01,Albania,J1,38
2017-03-01,Albania,J2,3
2017-03-01,Albania,K1,7
2017-03-01,Albania,L1,1
2017-03-01,Albania,M1,1
2017-03-01,Albania,P1,1
2017-03-01,Albania,P3,7
2017-03-01,Algeria,A1,2
2017-03-01,Algeria,A2,38
2017-03-01,Algeria,B1,13
2017-03-01,Algeria,B2,1
2017-03-01,Algeria,D,9
2017-03-01,Algeria,F1,6
2017-03-01,Algeria,F2,1
2017-03-01,Algeria,G2,3
2017-03-01,Algeria,G4,7
2017-03-01,Algeria,H1B,1
2017-03-01,Algeria,H4,2
2017-03-01,Algeria,J1,19
2017-03-01,Algeria,J2,5
2017-03-01,Algeria,K1,3
2017-03-01,Algeria,L1,3
2017-03-01,Algeria,L2,2
2017-03-01,Algeria,M1,23
2017-03-01,Algeria,O1,1
2017-03-01,Andorra,G1,1
2017-03-01,Anguilla,B1/B2,2
2017-03-01,Angola,A1,14
2017-03-01,Angola,A2,8
2017-03-01,Angola,B1/B2,433
2017-03-01,Angola,B2,75
2017-03-01,Angola,C1/D,17
2017-03-01,Angola,F1,16
2017-03-01,Angola,F2,5
2017-03-01,Angola,G1,2
2017-03-01,Angola,G2,13
2017-03-01,Angola,G4,1
2017-03-01,Angola,J1,3
2017-03-01,Angola,L1,3
2017-03-01,Angola,L2,6
2017-03-01,Angola,M1,1
2017-03-01,Angola,O1,1
2017-03-01,Antigua And Barbuda,B1/B2,151
2017-03-01,Antigua And Barbuda,B2,19
2017-03-01,Antigua And Barbuda,C1/D,1
2017-03-01,Antigua And Barbuda,C3,4
2017-03-01,Antigua And Barbuda,F1,3
2017-03-01,Antigua And Barbuda,H2B,1
2017-03-01,Argentina,A1,4
2017-03-01,Argentina,A2,371
2017-03-01,Argentina,B1,17
2017-03-01,Argentina,B2,1
2017-03-01,Argentina,C1,4
2017-03-01,Argentina,C1/D,93
2017-03-01,Argentina,C3,3
2017-03-01,Argentina,E1,1
2017-03-01,Argentina,E2,26
2017-03-01,Argentina,F1,79
2017-03-01,Argentina,F2,5
2017-03-01,Argentina,G2,8
2017-03-01,Argentina,G4,29
2017-03-01,Argentina,H1B,11
2017-03-01,Argentina,H2B,2
2017-03-01,Argentina,H4,4
2017-03-01,Argentina,I,13
2017-03-01,Argentina,J1,110
2017-03-01,Argentina,J2,11
2017-03-01,Argentina,K1,11
2017-03-01,Argentina,K2,1
2017-03-01,Argentina,L1,69
2017-03-01,Argentina,L2,74
2017-03-01,Argentina,M1,8
2017-03-01,Argentina,M2,2
2017-03-01,Argentina,O1,23
2017-03-01,Argentina,O2,3
2017-03-01,Argentina,O3,3
2017-03-01,Argentina,P1,29
2017-03-01,Argentina,P3,41
2017-03-01,Argentina,P4,6
2017-03-01,Argentina,R1,4
2017-03-01,Argentina,R2,1
2017-03-01,Argentina,TD,1
2017-03-01,Armenia,A2,9
2017-03-01,Armenia,B1,12
2017-03-01,Armenia,B1/B2,687
2017-03-01,Armenia,C3,1
2017-03-01,Armenia,E2,9
2017-03-01,Armenia,F1,5
2017-03-01,Armenia,G2,2
2017-03-01,Armenia,G4,3
2017-03-01,Armenia,J1,17
2017-03-01,Armenia,J2,1
2017-03-01,Armenia,K1,23
2017-03-01,Armenia,K2,3
2017-03-01,Armenia,L1,2
2017-03-01,Armenia,L2,1
2017-03-01,Armenia,O2,1
2017-03-01,Armenia,P1,1
2017-03-01,Armenia,P3,34
2017-03-01,Armenia,R1,2
2017-03-01,Australia,A1,13
2017-03-01,Australia,A2,556
2017-03-01,Australia,B1,12
2017-03-01,Australia,C1,2
2017-03-01,Australia,C1/D,209
2017-03-01,Australia,C3,38
2017-03-01,Australia,E1,1
2017-03-01,Australia,E2,40
2017-03-01,Australia,E3,463
2017-03-01,Australia,E3D,282
2017-03-01,Australia,E3R,226
2017-03-01,Australia,F1,65
2017-03-01,Australia,G1,3
2017-03-01,Australia,G2,15
2017-03-01,Australia,G4,32
2017-03-01,Australia,H1B,19
2017-03-01,Australia,H2A,5
2017-03-01,Australia,H2B,5
2017-03-01,Australia,H3,2
2017-03-01,Australia,H4,16
2017-03-01,Australia,I,52
2017-03-01,Australia,J1,737
2017-03-01,Australia,J2,32
2017-03-01,Australia,K1,30
2017-03-01,Australia,K2,3
2017-03-01,Australia,L1,138
2017-03-01,Australia,L2,123
2017-03-01,Australia,M1,9
2017-03-01,Australia,M2,1
2017-03-01,Australia,O1,82
2017-03-01,Australia,O2,42
2017-03-01,Australia,O3,14
2017-03-01,Australia,P1,57
2017-03-01,Australia,P3,1
2017-03-01,Australia,P4,1
2017-03-01,Australia,R1,3
2017-03-01,Austria,A1,4
2017-03-01,Austria,A2,43
2017-03-01,Austria,B1,44
2017-03-01,Austria,B1/B2,320
2017-03-01,Austria,C1/D,87
2017-03-01,Austria,D,1
2017-03-01,Austria,E2,17
2017-03-01,Austria,F1,37
2017-03-01,Austria,G2,5
2017-03-01,Austria,G4,11
2017-03-01,Austria,H1B,5
2017-03-01,Austria,H2A,1
2017-03-01,Austria,H2B,1
2017-03-01,Austria,H4,1
2017-03-01,Austria,I,13
2017-03-01,Austria,J1,75
2017-03-01,Austria,J2,2
2017-03-01,Austria,K1,3
2017-03-01,Austria,K2,1
2017-03-01,Austria,L1,31
2017-03-01,Austria,L2,17
2017-03-01,Austria,M1,8
2017-03-01,Austria,O1,10
2017-03-01,Austria,O2,1
2017-03-01,Austria,P1,15
2017-03-01,Austria,P3,3
2017-03-01,Azerbaijan,A2,23
2017-03-01,Azerbaijan,B1,1
2017-03-01,Azerbaijan,B1/B2,574
2017-03-01,Azerbaijan,C1/D,26
2017-03-01,Azerbaijan,F1,12
2017-03-01,Azerbaijan,F2,3
2017-03-01,Azerbaijan,G2,7
2017-03-01,Azerbaijan,G4,2
2017-03-01,Azerbaijan,H1B,2
2017-03-01,Azerbaijan,H4,1
2017-03-01,Azerbaijan,I,1
2017-03-01,Azerbaijan,J1,6
2017-03-01,Azerbaijan,J2,3
2017-03-01,Azerbaijan,K1,2
2017-03-01,Azerbaijan,L1,3
2017-03-01,Azerbaijan,L2,6
2017-03-01,Azerbaijan,M1,1
2017-03-01,Azerbaijan,O1,2
2017-03-01,"Bahamas, The",A1,1
2017-03-01,"Bahamas, The",A2,11
2017-03-01,"Bahamas, The",B2,1
2017-03-01,"Bahamas, The",C1/D,10
2017-03-01,"Bahamas, The",C3,4
2017-03-01,"Bahamas, The",F1,22
2017-03-01,"Bahamas, The",G1,1
2017-03-01,"Bahamas, The",H1B,5
2017-03-01,"Bahamas, The",L1,2
2017-03-01,"Bahamas, The",L2,1
2017-03-01,"Bahamas, The",M1,9
2017-03-01,"Bahamas, The",P1,2
2017-03-01,Bahrain,A1,1
2017-03-01,Bahrain,A2,42
2017-03-01,Bahrain,B1/B2,253
2017-03-01,Bahrain,B2,24
2017-03-01,Bahrain,F1,2
2017-03-01,Bahrain,G2,16
2017-03-01,Bahrain,J1,3
2017-03-01,Bahrain,K1,1
