country,visa_type,number
Nonimmigrant Visa Issuances By Nationality -,December,2017
Afghanistan,A1,10
Afghanistan,A2,27
Afghanistan,B1/B2,101
Afghanistan,B2,3
Afghanistan,F1,12
Afghanistan,G4,9
Afghanistan,J1,19
Afghanistan,K1,6
Albania,A2,11
Albania,B1/B2,942
Albania,C1,2
Albania,C1/D,15
Albania,E2,3
Albania,F1,40
Albania,G4,1
Albania,H1B,4
Albania,J1,12
Albania,K1,12
Albania,K2,1
Albania,M1,1
Albania,P3,8
Algeria,A2,8
Algeria,B1,1
Algeria,C1,1
Algeria,D,7
Algeria,F1,19
Algeria,F2,1
Algeria,G4,1
Algeria,H1B,2
Algeria,J1,13
Algeria,J2,1
Algeria,K1,5
Algeria,M1,8
Algeria,R1,1
Andorra,F1,1
Andorra,H1B,1
Andorra,J1,1
Andorra,L1,1
Andorra,L2,1
Angola,A1,4
Nonimmigrant Visa Issuances By Nationality -,December,2017
Angola,A2,10
Angola,B1/B2,575
Angola,B2,187
Angola,C1/D,4
Angola,F1,105
Angola,F2,5
Angola,G1,1
Angola,G4,1
Angola,I,1
Angola,J1,6
Angola,L1,2
Angola,L2,6
Antigua and Barbuda,A1,2
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,142
Antigua and Barbuda,C1/D,1
Antigua and Barbuda,F1,11
Antigua and Barbuda,H1B,1
Antigua and Barbuda,K1,1
Antigua and Barbuda,M1,1
Antigua and Barbuda,O1,1
Argentina,A1,4
Argentina,A2,20
Argentina,B1,24
Argentina,C1,2
Argentina,C1/D,53
Argentina,C3,9
Argentina,D,1
Argentina,E1,6
Argentina,E2,39
Argentina,E3D,2
Argentina,F1,188
Argentina,F2,11
Argentina,G1,2
Argentina,G4,34
Argentina,G5,1
Argentina,H1B,44
Argentina,H2B,5
Argentina,H4,16
Argentina,I,9
Nonimmigrant Visa Issuances By Nationality -,December,2017
Argentina,J1,649
Argentina,J2,42
Argentina,K1,6
Argentina,L1,75
Argentina,L2,85
Argentina,M1,6
Argentina,O1,22
Argentina,O2,1
Argentina,O3,12
Argentina,P1,40
Argentina,P3,7
Argentina,P4,22
Argentina,R1,2
Armenia,A1,2
Armenia,A2,1
Armenia,B1,16
Armenia,B1/B2,616
Armenia,B2,1
Armenia,E2,2
Armenia,F1,1
Armenia,G4,3
Armenia,H1B,3
Armenia,H4,4
Armenia,J1,21
Armenia,K1,4
Armenia,K2,1
Armenia,L1,3
Armenia,L2,6
Armenia,O1,2
Armenia,O2,3
Armenia,P1,2
Armenia,P3,5
Armenia,R1,1
Armenia,R2,1
Australia,A1,17
Australia,A2,423
Australia,B1,7
Australia,B1/B2,806
Australia,B2,1
Australia,C1,2
Australia,C1/D,171
Nonimmigrant Visa Issuances By Nationality -,December,2017
Australia,C3,14
Australia,E2,51
Australia,E3,566
Australia,E3D,416
Australia,E3R,438
Australia,F1,206
Australia,F2,10
Australia,G1,1
Australia,G2,3
Australia,G4,20
Australia,H1B,83
Australia,H2B,3
Australia,H3,1
Australia,H4,43
Australia,I,24
Australia,J1,482
Australia,J2,16
Australia,K1,15
Australia,K2,2
Australia,L1,112
Australia,L2,119
Australia,M1,11
Australia,O1,63
Australia,O2,18
Australia,O3,11
Australia,P1,33
Australia,P3,2
Australia,P4,3
Australia,R1,7
Australia,TD,1
Austria,A1,8
Austria,A2,22
Austria,B1,27
Austria,B1/B2,163
Austria,B2,1
Austria,C1/D,58
Austria,E1,7
Austria,E2,29
Austria,F1,58
Austria,G2,1
Austria,G4,3
Nonimmigrant Visa Issuances By Nationality -,December,2017
Austria,H1B,14
Austria,H2B,2
Austria,H4,2
Austria,I,5
Austria,J1,198
Austria,J2,8
Austria,L1,44
Austria,L2,10
Austria,M1,6
Austria,O1,8
Austria,O3,2
Austria,P1,12
Azerbaijan,A1,6
Azerbaijan,A2,17
Azerbaijan,B1/B2,548
Azerbaijan,B2,1
Azerbaijan,C1/D,22
Azerbaijan,F1,36
Azerbaijan,F2,3
Azerbaijan,G1,3
Azerbaijan,G2,1
Azerbaijan,G4,4
Azerbaijan,H1B,2
Azerbaijan,H4,1
Azerbaijan,J1,7
Azerbaijan,J2,5
Azerbaijan,K1,1
Azerbaijan,P1,1
"Bahamas, The",A2,4
