country,visa_type,number
Nonimmigrant Visa Issuances By Nationality -,March,2018
Afghanistan,A1,1
Afghanistan,A2,49
Afghanistan,B1,1
Afghanistan,B1/B2,136
Afghanistan,B2,1
Afghanistan,F1,2
Afghanistan,G2,8
Afghanistan,G4,6
Afghanistan,H1B,1
Afghanistan,J1,7
Afghanistan,K1,1
Afghanistan,L1,1
Afghanistan,O2,1
Afghanistan,O3,1
Albania,A1,3
Albania,A2,11
Albania,C1/D,29
Albania,F1,6
Albania,G2,5
Albania,G4,3
Albania,J1,28
Albania,K1,5
Albania,L1,2
Albania,P3,3
Algeria,A1,5
Algeria,A2,16
Algeria,B1,1
Algeria,B2,2
Algeria,C1,1
Algeria,C1/D,2
Algeria,D,8
Algeria,F1,5
Algeria,G1,1
Algeria,G2,17
Algeria,G4,6
Algeria,J1,11
Algeria,K1,7
Algeria,O1,1
Andorra,B1/B2,2
Nonimmigrant Visa Issuances By Nationality -,March,2018
Angola,A1,10
Angola,A2,67
Angola,B1/B2,303
Angola,B2,56
Angola,C1/D,9
Angola,C3,1
Angola,F1,13
Angola,G1,1
Angola,G2,17
Angola,G4,3
Angola,H1B,1
Angola,J1,7
Angola,L1,3
Angola,L2,2
Angola,P3,1
Angola,R2,1
Antigua and Barbuda,A2,5
Antigua and Barbuda,B1/B2,218
Antigua and Barbuda,C1/D,4
Antigua and Barbuda,C3,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,P3,1
Argentina,A1,1
Argentina,A2,142
Argentina,A3,1
Argentina,B1,18
Argentina,B2,1
Argentina,C1,1
Argentina,C1/D,61
Argentina,C3,2
Argentina,E1,5
Argentina,E2,38
Argentina,F1,68
Argentina,F2,2
Argentina,G1,1
Argentina,G2,3
Argentina,G3,1
Argentina,G4,32
Argentina,H1B,17
Argentina,H2B,3
Nonimmigrant Visa Issuances By Nationality -,March,2018
Argentina,H4,13
Argentina,I,8
Argentina,J1,149
Argentina,J2,5
Argentina,K1,3
Argentina,L1,51
Argentina,L2,65
Argentina,M1,5
Argentina,M2,1
Argentina,O1,12
Argentina,O2,17
Argentina,O3,11
Argentina,P1,25
Argentina,P3,11
Argentina,P4,6
Argentina,R1,1
Argentina,R2,2
Argentina,TD,1
Argentina,U3,1
Armenia,A2,22
Armenia,B1,32
Armenia,B1/B2,668
Armenia,B2,6
Armenia,E2,4
Armenia,F1,4
Armenia,G2,7
Armenia,G4,1
Armenia,H1B,1
Armenia,I,4
Armenia,J1,6
Armenia,K1,9
Armenia,L1,5
Armenia,L2,7
Armenia,O1,1
Armenia,O2,30
Armenia,P3,2
Armenia,R2,1
