country,visa_type,number
Afghanistan,A1,5
Afghanistan,A2,2
Afghanistan,B1/B2,1
Angola,A1,1
Argentina,A1,8
Argentina,B1,1
Argentina,B1/B2,185
Argentina,B2,1
Argentina,C1,10
Argentina,C1/D,1
Argentina,E2,1
Argentina,F1,4
Argentina,G4,3
Argentina,H1B,1
Argentina,J1,1
Argentina,J2,3
Argentina,L1,8
Argentina,L2,14
Argentina,M1,2
Argentina,O1,1
Argentina,O3,2
Argentina,P1,1
Armenia,G4,1
Australia,A1,1
Australia,A2,107
Australia,B1,2
Australia,B1/B2,78
Australia,B2,1
Australia,C1/D,34
Australia,C3,1
Australia,E2,4
Australia,E3,50
Australia,E3D,19
Australia,E3R,14
Australia,G4,2
Australia,H1B,1
Australia,H2A,1
Australia,H2B,1
Australia,J1,4
Australia,J2,3
Australia,K1,8
Australia,L1,6
Australia,L2,1
Australia,O1,3
Australia,O3,1
Australia,P1,2
Austria,A1,5
Austria,A2,1
Austria,B1/B2,2
Austria,C1/D,3
Austria,K2,1
Azerbaijan,A1,7
Azerbaijan,A2,1
Azerbaijan,B1/B2,3
Azerbaijan,C1/D,3
"Bahamas, The",B1/B2,5
"Bahamas, The",H1B,1
"Bahamas, The",J1,3
"Bahamas, The",M1,1
Bahrain,A2,3
Bahrain,B1/B2,28
Bahrain,F1,2
Bahrain,G2,1
Bahrain,J1,2
Bangladesh,A2,6
Bangladesh,G1,5
Bangladesh,G4,7
Bangladesh,J1,2
Bangladesh,J2,2
Bangladesh,O3,1
Barbados,A1,1
Belarus,A1,5
Belarus,B1/B2,1
Belarus,G4,2
Belarus,J1,1
Belarus,K2,1
Belgium,A2,9
Belgium,B1,1
Belgium,B1/B2,12
Belgium,C1/D,7
Belgium,G1,2
Belgium,NATO2,4
Belize,B1/B2,3
Belize,C1,1
Belize,H2A,3
Benin,B1/B2,3
Bermuda,B1/B2,5
Bhutan,G1,1
Bolivia,A1,8
Bolivia,A2,1
Bolivia,B1/B2,18
Bolivia,F1,1
Bolivia,G4,1
Bolivia,J1,1
Bosnia-Herzegovina,C1/D,1
Brazil,A1,4
Brazil,A2,42
Brazil,B1/B2,22
Brazil,C1,2
Brazil,C1/D,4
Brazil,C3,3
Brazil,F1,4
Brazil,F2,1
Brazil,G1,5
Brazil,G4,9
Brazil,H1B,3
Brazil,H2A,16
Brazil,H4,8
Brazil,J1,30
Brazil,J2,15
Brazil,K1,2
Brazil,K2,1
Brazil,L1,3
Brazil,L2,2
Brazil,M1,1
Brazil,M2,2
Brazil,O1,2
Brazil,O3,1
Brazil,P1,1
British National Overseas (Hong Kong) Passport,B1/B2,3
British National Overseas (Hong Kong) Passport,C1/D,1
Bulgaria,A2,1
Bulgaria,B1,1
Bulgaria,B1/B2,19
Bulgaria,C1/D,24
Bulgaria,G4,5
Bulgaria,H2B,63
Bulgaria,J1,2
Bulgaria,K2,1
Bulgaria,L1,1
Bulgaria,NATO2,6
Burkina Faso,B1/B2,1
Burma,B1/B2,8
Burma,C1,40
Burma,D,238
Burundi,A2,1
Cambodia,A1,1
Cambodia,F1,2
Cambodia,K1,3
Cambodia,K2,2
Cameroon,B1/B2,2
Cameroon,G4,2
Canada,A1,11
Canada,B1/B2,1
Canada,E2,1
Canada,F1,1
Canada,G4,6
Canada,H1B,1
Canada,H2A,2
Canada,H4,2
Canada,J1,2
Canada,J2,2
Canada,NATO2,2
Canada,NATO6,8
Central African Republic,A1,1
Chad,B1/B2,1
Chile,A1,5
Chile,A2,9
Chile,B1,8
Chile,B1/B2,24
Chile,C1/D,19
Chile,C3,6
Chile,G1,2
Chile,G4,2
Chile,H1B1,6
Chile,H4,6
Chile,J1,6
Chile,K1,1
Chile,L1,2
Chile,L2,2
China - mainland,A1,4
China - mainland,A2,1
China - mainland,B1/B2,46
China - mainland,B2,3
China - mainland,C1,2
China - mainland,C1/D,171
China - mainland,C3,4
China - mainland,E3D,2
China - mainland,F1,7
China - mainland,G1,1
China - mainland,G4,11
China - mainland,H1B,16
China - mainland,H4,1
China - mainland,J1,11
China - mainland,J2,1
China - Taiwan,B1/B2,29
China - Taiwan,C1/D,217
China - Taiwan,E1,25
China - Taiwan,E2,1
China - Taiwan,F1,14
China - Taiwan,F2,2
China - Taiwan,H1B,1
China - Taiwan,H4,1
China - Taiwan,J1,13
China - Taiwan,J2,10
China - Taiwan,L1,1
China - Taiwan,L2,1
Colombia,B1,1
Colombia,B1/B2,12
Colombia,C1,1
Colombia,C1/D,2
Colombia,C3,51
Colombia,F1,2
Colombia,G4,4
Colombia,H1B,3
Colombia,H2B,1
Colombia,H4,3
Colombia,I,1
Colombia,J1,8
Colombia,J2,1
Colombia,K1,7
Colombia,K2,2
Colombia,L1,1
Colombia,L2,2
Colombia,O1,1
Colombia,R1,1
"Congo, Democratic Republic of the",B1/B2,3
"Congo, Democratic Republic of the",K1,1
"Congo, Republic of the",G4,4
Costa Rica,B1/B2,437
Costa Rica,F1,1
Costa Rica,H1B,1
Costa Rica,H2A,2
Costa Rica,H2B,2
Costa Rica,J1,5
Costa Rica,K1,1
Costa Rica,L1,1
Costa Rica,L2,1
Croatia,B1/B2,2
Croatia,C1/D,31
Cuba,A1,2
Cyprus,B1,1
Czech Republic,B1/B2,4
Czech Republic,C1/D,2
Czech Republic,J1,1
Czech Republic,NATO6,1
Denmark,C1/D,2
Denmark,L1,1
Denmark,NATO2,14
Dominica,B1/B2,1
Dominican Republic,A1,1
Dominican Republic,A2,2
Dominican Republic,B1/B2,3
Dominican Republic,G1,2
