country,visa_type,number
Afghanistan,A1,17
Afghanistan,A2,18
Afghanistan,B1,1
Afghanistan,B1/B2,104
Afghanistan,B2,2
Afghanistan,F1,5
Afghanistan,G1,6
Afghanistan,G4,8
Afghanistan,H1B,1
Afghanistan,J1,6
Afghanistan,K1,5
Afghanistan,M1,1
Afghanistan,O1,1
Afghanistan,O2,1
Afghanistan,O3,3
Albania,A2,11
Albania,B1,2
Albania,B1/B2,976
Albania,C1/D,16
Albania,F1,11
Albania,F2,1
Albania,G2,10
Albania,G4,1
Albania,H1B,3
Albania,I,1
Albania,J1,10
Albania,K1,26
Albania,L1,1
Albania,NATO2,4
Albania,NATO4,1
Albania,P3,2
Algeria,A2,24
Algeria,B2,6
Algeria,C1,1
Algeria,D,13
Algeria,E2,1
Algeria,F1,5
Algeria,G1,4
Algeria,G2,11
Algeria,G4,2
Algeria,H1B,2
Algeria,I,3
Algeria,J1,19
Algeria,J2,1
Algeria,K1,6
Algeria,L1,2
Algeria,M1,1
Andorra,E2,1
Angola,A1,8
Angola,A2,21
Angola,B1/B2,306
Angola,B2,42
Angola,C1/D,7
Angola,F1,8
Angola,F2,7
Angola,G1,2
Angola,G2,9
Angola,G4,4
Angola,H1B,1
Angola,K1,1
Angola,M1,1
Angola,R1,1
Anguilla,B1/B2,3
Antigua and Barbuda,A2,1
Antigua and Barbuda,B1/B2,279
Antigua and Barbuda,C3,1
Antigua and Barbuda,E2,1
Antigua and Barbuda,G2,1
Antigua and Barbuda,H1B,1
Antigua and Barbuda,H4,1
Argentina,A1,3
Argentina,A2,70
Argentina,A3,1
Argentina,B1,23
Argentina,B2,1
Argentina,C1,3
Argentina,C1/D,66
Argentina,C3,5
Argentina,E1,2
Argentina,E2,29
Argentina,F1,89
Argentina,F2,7
Argentina,G1,1
Argentina,G2,2
Argentina,G4,23
Argentina,H1B,32
Argentina,H2B,24
Argentina,H4,14
Argentina,I,10
Argentina,J2,7
Argentina,K1,6
Argentina,K2,2
Argentina,L1,41
Argentina,L2,32
Argentina,M1,8
Argentina,O1,21
Argentina,O2,7
Argentina,O3,3
Argentina,P1,9
Argentina,P3,7
Argentina,P4,2
Argentina,R1,4
Argentina,R2,1
Armenia,A1,5
Armenia,A2,4
Armenia,B1/B2,963
Armenia,B2,2
Armenia,D,1
Armenia,F1,5
Armenia,G1,1
Armenia,G2,3
Armenia,G4,2
Armenia,H1B,1
Armenia,I,1
Armenia,J1,24
Armenia,K1,21
Armenia,K2,2
Armenia,L1,2
Armenia,L2,2
Armenia,O1,2
Armenia,O2,1
Armenia,O3,2
Armenia,P3,7
Australia,A1,16
Australia,A2,459
Australia,B1,8
Australia,B1/B2,838
Australia,B2,1
Australia,C1,5
Australia,C1/D,213
Australia,C3,28
Australia,E2,35
Australia,E3,491
Australia,E3D,219
Australia,E3R,213
Australia,F1,40
Australia,F2,13
Australia,G1,5
Australia,G2,1
Australia,G4,33
Australia,H1B,24
Australia,H2A,2
Australia,H2B,12
Australia,H4,14
Australia,I,34
Australia,J1,159
Australia,J2,12
Australia,K1,14
Australia,L1,100
Australia,L2,88
Australia,M1,4
Australia,O1,59
Australia,O2,20
Australia,O3,9
Australia,P1,43
Australia,P3,4
Australia,P4,3
Australia,R1,1
Austria,A1,2
Austria,A2,19
Austria,B1,1
Austria,B1/B2,235
Austria,C1/D,53
Austria,E1,2
Austria,E2,21
Austria,F1,10
Austria,F2,1
Austria,G1,2
Austria,G2,1
Austria,G4,10
Austria,H1B,10
Austria,H2B,8
Austria,H4,3
Austria,I,11
Austria,J1,82
Austria,J2,3
Austria,K1,2
Austria,L1,19
Austria,L2,9
Austria,M1,6
Austria,O1,15
Austria,O2,5
Austria,O3,3
Austria,P1,7
Austria,P3,2
Austria,R1,1
Azerbaijan,A1,14
Azerbaijan,A2,28
Azerbaijan,B1,3
Azerbaijan,B1/B2,469
