country,visa_type,number
Afghanistan,A1,21
Afghanistan,A2,17
Afghanistan,B1,1
Afghanistan,B1/B2,196
Afghanistan,F1,10
Afghanistan,F2,1
Afghanistan,G1,7
Afghanistan,G2,9
Afghanistan,G4,13
Afghanistan,H1B,1
Afghanistan,H4,1
Afghanistan,I,1
Afghanistan,J1,6
Afghanistan,K1,38
Afghanistan,K3,0
Afghanistan,L1,1
Afghanistan,L2,1
Afghanistan,M1,1
Afghanistan,O1,0
Afghanistan,O2,0
Afghanistan,O3,0
Albania,A1,2
Albania,A2,15
Albania,B1,0
Albania,C1,1
Albania,C1/D,10
Albania,D,1
Albania,E2,7
Albania,F1,8
Albania,G2,7
Albania,G4,12
Albania,H1B,3
Albania,J1,22
Albania,J2,0
Albania,K1,30
Albania,K2,1
Albania,L1,1
Albania,M1,1
Albania,P3,4
Algeria,A1,1
Algeria,A2,34
Algeria,B1,1
Algeria,C1,3
Algeria,D,10
Algeria,F1,5
Algeria,G1,1
Algeria,G2,4
Algeria,G4,4
Algeria,J1,23
Algeria,J2,1
Algeria,K1,19
Algeria,L2,1
Algeria,M1,0
Algeria,O2,1
Andorra,B1/B2,1
Angola,A1,6
Angola,A2,20
Angola,B1,2
Angola,B1/B2,295
Angola,B2,33
Angola,C1/D,3
Angola,F1,10
Angola,G1,2
Angola,G2,18
Angola,G4,3
Angola,I,2
Angola,J1,1
Angola,K1,1
Angola,L1,2
Angola,L2,1
Angola,M1,1
Anguilla,B1/B2,4
Antigua and Barbuda,A1,2
Antigua and Barbuda,A2,2
Antigua and Barbuda,B1/B2,283
Antigua and Barbuda,C1,1
Antigua and Barbuda,C1/D,0
Antigua and Barbuda,F1,1
Antigua and Barbuda,G2,1
Antigua and Barbuda,K1,1
Antigua and Barbuda,L1,1
Argentina,A1,6
Argentina,A2,38
Argentina,B1,19
Argentina,B2,6
Argentina,C1,6
Argentina,C1/D,82
Argentina,C3,6
Argentina,E1,18
Argentina,E2,39
Argentina,F1,66
Argentina,F2,4
Argentina,G1,1
Argentina,G2,9
Argentina,G4,37
Argentina,H1B,23
Argentina,H2B,26
Argentina,H4,12
Argentina,I,3
Argentina,J2,29
Argentina,K1,9
Argentina,L1,81
Argentina,L2,69
Argentina,O1,17
Argentina,O2,1
Argentina,O3,3
Argentina,P1,27
Argentina,P3,11
Argentina,P4,14
Argentina,R1,7
Argentina,R2,2
Armenia,A2,19
Armenia,B1,5
Armenia,B2,8
Armenia,C1,1
Armenia,D,1
Armenia,E2,4
Armenia,F1,3
Armenia,G1,1
Armenia,G4,3
Armenia,H1B,2
Armenia,H4,3
Armenia,J1,18
Armenia,J2,4
Armenia,K1,10
Armenia,L1,1
Armenia,L2,3
Armenia,M1,1
Armenia,O1,1
Armenia,O3,4
Armenia,P1,1
Armenia,P3,6
Australia,A1,14
Australia,A2,476
Australia,B1,22
Australia,B1/B2,799
Australia,B2,3
Australia,C1,5
Australia,C1/D,192
Australia,C3,24
Australia,E1,3
Australia,E2,35
Australia,E3,510
Australia,E3D,293
Australia,E3R,257
Australia,F1,13
Australia,F2,6
Australia,G1,1
Australia,G2,5
Australia,G4,30
Australia,H1B,46
Australia,H2A,3
Australia,H2B,7
Australia,H3,1
Australia,H4,30
Australia,I,23
Australia,J1,119
Australia,J2,7
Australia,K1,26
Australia,K2,1
Australia,L1,114
Australia,L2,94
Australia,M1,9
Australia,O1,50
Australia,O2,28
Australia,O3,13
Australia,P1,41
Australia,P3,3
Australia,P4,3
Australia,R1,3
Austria,A1,1
Austria,A2,19
Austria,B1/B2,223
Austria,C1/D,47
Austria,E1,1
Austria,E2,11
Austria,F1,14
Austria,G1,3
Austria,G3,1
Austria,G4,12
Austria,H1B,11
Austria,H2B,4
Austria,H4,1
Austria,I,12
Austria,J1,76
Austria,J2,3
Austria,K1,2
Austria,L1,25
Austria,L2,17
Austria,M1,2
Austria,O1,6
Austria,O2,7
Austria,O3,3
Austria,P1,10
Austria,P3,2
Austria,P4,0
Austria,Q1,1
Austria,R1,2
Azerbaijan,A1,9
Azerbaijan,A2,26
Azerbaijan,B1,1
Azerbaijan,B1/B2,648
Azerbaijan,C1/D,39
Azerbaijan,C3,2
Azerbaijan,F1,14
Azerbaijan,G2,10
Azerbaijan,G4,5
Azerbaijan,G5,0
Azerbaijan,H1B,3
Azerbaijan,H4,2
Azerbaijan,I,0
Azerbaijan,J1,7
Azerbaijan,J2,2
Azerbaijan,K1,3
Azerbaijan,L1,2
Azerbaijan,O1,1
Azerbaijan,P1,1
"Bahamas, The",A1,9
"Bahamas, The",A2,5
"Bahamas, The",B2,2
"Bahamas, The",C1/D,23
"Bahamas, The",C3,2
"Bahamas, The",F1,30
"Bahamas, The",F2,2
"Bahamas, The",G1,1
"Bahamas, The",G2,1
"Bahamas, The",G4,1
"Bahamas, The",H1B,13
"Bahamas, The",H4,1
"Bahamas, The",J1,1
"Bahamas, The",L1,3
"Bahamas, The",L2,1
"Bahamas, The",M1,5
"Bahamas, The",TD,1
Bahrain,A2,10
Bahrain,B1/B2,455
Bahrain,B2,11
Bahrain,C1/D,2
Bahrain,F1,10
Bahrain,G2,14
Bahrain,J1,8
Bahrain,K1,0
Bahrain,L1,0
Bahrain,M1,2
Bahrain,M2,3
Bangladesh,A1,7
Bangladesh,A2,92
Bangladesh,A3,1
Bangladesh,B1,0
Bangladesh,B2,4
Bangladesh,C1,6
Bangladesh,C1/D,68
Bangladesh,C3,6
Bangladesh,F1,51
Bangladesh,F2,45
Bangladesh,G1,3
Bangladesh,G2,20
Bangladesh,G4,33
Bangladesh,G5,1
Bangladesh,H1B,26
Bangladesh,H4,9
Bangladesh,I,6
Bangladesh,J1,29
Bangladesh,J2,12
Bangladesh,K1,4
Bangladesh,L1,2
Bangladesh,L2,5
Bangladesh,M1,0
Bangladesh,O1,1
Bangladesh,P3,0
Bangladesh,TD,1
Barbados,A1,5
Barbados,A2,4
Barbados,C1,1
Barbados,C1/D,1
Barbados,C3,2
Barbados,F1,5
Barbados,G4,2
Barbados,H1B,1
Barbados,H2B,1
Barbados,L1,1
Barbados,M1,1
Barbados,O2,0
Barbados,P1,0
Belarus,A1,3
Belarus,A2,5
Belarus,B1,7
Belarus,B2,4
Belarus,C1,1
Belarus,C1/D,100
Belarus,F1,5
Belarus,G1,3
Belarus,G2,3
Belarus,G4,10
Belarus,H1B,10
Belarus,H4,3
Belarus,J1,19
Belarus,K1,5
Belarus,K2,1
Belarus,L1,18
Belarus,L2,9
Belarus,O1,9
Belarus,O2,2
Belarus,P1,11
Belarus,P4,5
Belarus,TD,1
Belgium,A1,2
Belgium,A2,14
Belgium,B1,3
Belgium,B1/B2,198
Belgium,C1,0
Belgium,C1/D,86
Belgium,E1,0
Belgium,E2,11
Belgium,F1,18
Belgium,F2,4
Belgium,G2,2
Belgium,G3,2
Belgium,G4,13
Belgium,H1B,9
Belgium,H2A,1
Belgium,H4,1
Belgium,I,6
Belgium,J1,59
Belgium,J2,10
Belgium,K1,4
Belgium,L1,34
Belgium,L2,17
Belgium,M1,1
Belgium,NATO2,33
Belgium,NATO4,1
Belgium,O1,13
Belgium,O2,6
Belgium,O3,5
Belgium,P1,15
Belgium,P3,2
Belize,A1,1
Belize,A2,8
Belize,B1,1
Belize,B1/B2,377
Belize,C1,4
Belize,C1/D,1
Belize,C3,11
Belize,F1,7
Belize,H1B,3
Belize,K1,2
Belize,M1,3
Belize,R1,1
Benin,A1,3
Benin,A2,8
Benin,B1/B2,150
Benin,C1,1
Benin,D,0
Benin,F1,5
Benin,F2,1
Benin,G1,0
Benin,G2,8
Benin,G4,6
Benin,H1B,1
Benin,I,1
Benin,J1,3
Benin,K1,1
Bermuda,B1/B2,10
Bermuda,F1,1
Bermuda,H1B,1
Bermuda,H4,2
Bermuda,K1,1
Bhutan,A1,4
Bhutan,A2,19
Bhutan,B1/B2,61
Bhutan,C1,2
Bhutan,F1,1
Bhutan,G1,3
Bhutan,G2,2
Bhutan,G4,4
Bhutan,H4,1
Bhutan,P3,0
Bolivia,A1,3
Bolivia,A2,6
Bolivia,B1,4
Bolivia,BBBCC,0
Bolivia,C1,7
Bolivia,C1/D,9
Bolivia,C3,3
Bolivia,E1,1
Bolivia,F1,10
Bolivia,F2,2
Bolivia,G2,8
Bolivia,G4,18
Bolivia,G5,1
Bolivia,H1B,4
Bolivia,H4,2
Bolivia,I,1
Bolivia,J1,48
Bolivia,K1,8
Bolivia,K2,3
Bolivia,L1,2
Bolivia,L2,3
Bolivia,M1,3
Bolivia,O1,1
Bolivia,P3,15
Bolivia,R1,1
Bolivia,TD,1
Bolivia,U4,0
Bosnia-Herzegovina,A2,6
Bosnia-Herzegovina,B1,14
Bosnia-Herzegovina,B1/B2,368
Bosnia-Herzegovina,C1/D,144
Bosnia-Herzegovina,D,0
Bosnia-Herzegovina,F1,1
Bosnia-Herzegovina,G2,7
Bosnia-Herzegovina,G4,7
Bosnia-Herzegovina,H1B,4
Bosnia-Herzegovina,H4,1
Bosnia-Herzegovina,J1,18
Bosnia-Herzegovina,J2,2
Bosnia-Herzegovina,K1,15
Bosnia-Herzegovina,K2,2
Bosnia-Herzegovina,L1,1
Bosnia-Herzegovina,P3,1
Botswana,A2,5
Botswana,B1/B2,47
Botswana,C1/D,2
Botswana,F1,4
Botswana,G1,1
Botswana,G2,2
Brazil,A1,11
Brazil,A2,223
Brazil,B1,342
Brazil,B2,6
Brazil,C1,14
Brazil,C1/D,383
Brazil,C3,40
Brazil,E2,8
Brazil,E3D,1
Brazil,F1,526
Brazil,F2,246
Brazil,G1,7
Brazil,G2,19
Brazil,G4,64
Brazil,G5,0
Brazil,H1B,114
Brazil,H2A,5
Brazil,H2B,12
Brazil,H3,3
Brazil,H4,66
Brazil,I,40
Brazil,J2,125
Brazil,K1,101
Brazil,K2,23
Brazil,L1,339
Brazil,L2,348
Brazil,M1,1
Brazil,O1,138
Brazil,O2,8
Brazil,O3,42
Brazil,P1,123
Brazil,P4,16
Brazil,R1,9
Brazil,R2,12
Brazil,TD,2
British National Overseas (Hong Kong) Passport,B1/B2,359
British National Overseas (Hong Kong) Passport,C1/D,5
British National Overseas (Hong Kong) Passport,E2,1
British National Overseas (Hong Kong) Passport,E3D,1
British National Overseas (Hong Kong) Passport,F1,1
British National Overseas (Hong Kong) Passport,F2,1
British National Overseas (Hong Kong) Passport,H1B,0
British National Overseas (Hong Kong) Passport,J1,2
British National Overseas (Hong Kong) Passport,J2,1
British National Overseas (Hong Kong) Passport,L2,1
British National Overseas (Hong Kong) Passport,M1,1
British Virgin Islands,B1/B2,3
British Virgin Islands,C1/D,1
British Virgin Islands,F1,1
Brunei,A2,5
Brunei,B1/B2,3
Brunei,G2,1
Brunei,J1,1
Brunei,L1,1
Bulgaria,A2,8
Bulgaria,B1,21
Bulgaria,C1/D,133
Bulgaria,E2,11
Bulgaria,F1,3
Bulgaria,G2,8
Bulgaria,G4,8
Bulgaria,H1B,6
Bulgaria,H2B,9
Bulgaria,H4,2
Bulgaria,I,6
Bulgaria,J1,7
Bulgaria,J2,1
Bulgaria,K1,4
Bulgaria,K2,1
Bulgaria,L1,4
Bulgaria,L2,5
Bulgaria,M1,1
Bulgaria,NATO2,3
Bulgaria,O1,1
Bulgaria,O3,3
Bulgaria,P1,6
Bulgaria,P3,3
Burkina Faso,A1,4
Burkina Faso,A2,4
Burkina Faso,B1/B2,173
Burkina Faso,C1,0
Burkina Faso,F1,6
Burkina Faso,F2,0
Burkina Faso,G1,1
Burkina Faso,G2,11
Burkina Faso,G4,10
Burkina Faso,H1B,1
Burkina Faso,J1,2
Burkina Faso,J2,6
Burkina Faso,K1,2
Burkina Faso,M1,0
Burma,A1,3
Burma,A2,21
Burma,B1,22
Burma,B1/B2,640
Burma,B2,8
Burma,C1,210
Burma,D,758
Burma,F1,15
Burma,F2,2
Burma,G2,7
Burma,G4,11
Burma,H1B,1
Burma,J1,8
Burma,J2,1
Burma,K1,18
Burma,L1,1
Burma,L2,2
Burma,M1,2
Burma,R1,2
Burma,R2,0
Burundi,A2,2
Burundi,B1/B2,85
Burundi,F1,20
Burundi,G1,1
Burundi,G4,6
Burundi,K1,2
Burundi,P1,2
Burundi,U3,0
Cabo Verde,A2,5
Cabo Verde,B1/B2,122
Cabo Verde,C1/D,4
Cabo Verde,F1,0
Cabo Verde,G2,6
Cabo Verde,G4,2
Cabo Verde,G5,0
Cabo Verde,J1,1
Cabo Verde,K1,8
Cabo Verde,K2,1
Cabo Verde,M1,1
Cabo Verde,P3,2
Cambodia,A1,6
Cambodia,A2,20
Cambodia,B1,7
Cambodia,B1/B2,562
Cambodia,C1,4
Cambodia,D,4
Cambodia,F1,14
Cambodia,G1,1
Cambodia,G2,11
Cambodia,G4,7
Cambodia,J1,15
Cambodia,K1,28
Cambodia,K2,3
Cambodia,M1,2
Cambodia,O1,1
Cambodia,O2,0
Cambodia,R1,1
Cameroon,A1,2
Cameroon,A2,67
Cameroon,B1,0
Cameroon,B1/B2,688
Cameroon,C1,1
Cameroon,C1/D,7
Cameroon,C3,5
Cameroon,E2,0
Cameroon,F1,16
Cameroon,F2,0
Cameroon,G2,11
Cameroon,G4,12
Cameroon,H1B,3
Cameroon,H4,3
Cameroon,I,1
Cameroon,J1,11
Cameroon,J2,2
Cameroon,K1,24
Cameroon,K2,1
Cameroon,L1,3
Cameroon,M1,0
Cameroon,R1,1
Canada,A1,3
Canada,A2,3
Canada,B1,1
Canada,B1/B2,21
Canada,C1/D,4
Canada,E1,80
Canada,E2,432
Canada,E3D,5
Canada,F1,3
Canada,F2,5
Canada,G1,4
Canada,G4,50
Canada,H1B,13
Canada,H2A,0
Canada,H4,10
Canada,I,9
Canada,J1,5
Canada,J2,1
Canada,K1,72
Canada,K2,8
Canada,L1,31
Canada,L2,23
Canada,M1,2
Canada,NATO2,15
Canada,NATO6,2
Canada,O1,6
Canada,O2,3
Canada,O3,3
Canada,P1,4
Canada,R1,1
Canada,TD,4
Canada,TN,5
Cayman Islands,B1/B2,103
Cayman Islands,C1/D,13
Cayman Islands,L1,1
Central African Republic,A1,3
Central African Republic,A2,4
Central African Republic,B1/B2,18
Central African Republic,F1,0
Central African Republic,G2,2
Central African Republic,G4,1
Central African Republic,J1,5
Chad,A1,1
Chad,A2,8
Chad,B1/B2,73
Chad,C1,1
Chad,F1,3
Chad,G2,9
Chad,G4,6
Chad,K1,0
Chile,A2,67
Chile,B1,36
Chile,B1/B2,261
Chile,BBBCC,1
Chile,C1/D,60
Chile,C3,54
Chile,E1,1
Chile,E2,13
Chile,F1,71
Chile,F2,19
Chile,G1,2
Chile,G2,2
Chile,G4,7
Chile,H1B,17
Chile,H1B1,65
Chile,H2A,1
Chile,H2B,2
Chile,H4,63
Chile,I,0
Chile,J1,219
Chile,J2,8
Chile,K1,3
Chile,K2,3
Chile,L1,9
Chile,L2,13
Chile,M1,1
Chile,O1,8
Chile,O2,1
Chile,O3,3
Chile,R1,2
Chile,R2,4
China - mainland,A1,31
China - mainland,A2,110
China - mainland,B1,35
China - mainland,B2,69
China - mainland,C1,75
China - mainland,C3,24
China - mainland,CW1,18
