country,visa_type,number
Afghanistan,A1,11
Afghanistan,A2,28
Afghanistan,B1,1
Afghanistan,B1/B2,110
Afghanistan,C1,1
Afghanistan,F1,8
Afghanistan,G2,22
Afghanistan,G4,7
Afghanistan,J1,4
Afghanistan,K1,14
Afghanistan,P1,1
Albania,A2,3
Albania,B1/B2,715
Albania,C1/D,8
Albania,F1,16
Albania,F2,2
Albania,G2,4
Albania,G4,3
Albania,H1B,2
Albania,J1,5
Albania,K1,17
Albania,L1,1
Albania,P3,4
Algeria,A1,1
Algeria,A2,27
Algeria,B1,1
Algeria,B1/B2,914
Algeria,C1/D,1
Algeria,D,7
Algeria,F1,19
Algeria,F2,1
Algeria,G1,4
Algeria,G2,18
Algeria,G4,4
Algeria,H1B,3
Algeria,J1,28
Algeria,J2,1
Algeria,K1,7
Algeria,L1,1
Algeria,M1,6
Algeria,TD,1
Angola,A1,3
Angola,A2,6
Angola,B1,1
Angola,B1/B2,387
Angola,B2,65
Angola,C1,3
Angola,C1/D,9
Angola,F1,13
Angola,F2,1
Angola,G1,1
Angola,G2,12
Angola,G4,1
Angola,H1B,1
Angola,I,2
Angola,L1,2
Antigua and Barbuda,A2,5
Antigua and Barbuda,B1/B2,140
Antigua and Barbuda,B2,18
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,C3,2
Antigua and Barbuda,F1,5
Antigua and Barbuda,H4,1
Antigua and Barbuda,J1,1
Argentina,A1,5
Argentina,A2,80
Argentina,B1,11
Argentina,B1/B2,27378
Argentina,C1,5
Argentina,C1/D,70
Argentina,C3,8
Argentina,E1,2
Argentina,E2,48
Argentina,E3D,2
Argentina,F1,76
Argentina,F2,6
Argentina,G1,1
Argentina,G2,6
Argentina,G4,17
Argentina,G5,1
Argentina,H1B,22
Argentina,H4,11
Argentina,I,4
Argentina,J1,216
Argentina,J2,15
Argentina,K1,2
Argentina,L1,42
Argentina,L2,56
Argentina,M1,1
Argentina,O1,12
Argentina,O2,6
Argentina,O3,2
Argentina,P1,32
Argentina,P3,1
Argentina,R1,2
Argentina,TD,1
Armenia,A1,2
Armenia,A2,11
Armenia,B1,7
Armenia,B1/B2,443
Armenia,C1,2
Armenia,F1,1
Armenia,G1,1
Armenia,G2,7
Armenia,G4,2
Armenia,H1B,4
Armenia,I,6
Armenia,J1,23
Armenia,K1,14
Armenia,K2,1
Armenia,L1,2
Armenia,O1,1
Armenia,P1,17
Armenia,P3,2
Australia,A1,11
Australia,A2,360
Australia,B1,9
Australia,B1/B2,1038
Australia,B2,3
Australia,C1/D,255
Australia,C3,47
Australia,D,1
Australia,E1,1
Australia,E2,41
Australia,E3,483
Australia,E3D,249
Australia,E3R,174
Australia,F1,58
Australia,F2,5
Australia,G1,1
Australia,G2,4
Australia,G4,23
Australia,H1B,26
Australia,H2A,1
Australia,H4,6
Australia,I,54
Australia,J1,112
Australia,J2,17
Australia,K1,33
Australia,K2,1
Australia,L1,104
Australia,L2,77
Australia,M1,6
Australia,O1,57
Australia,O2,35
Australia,O3,8
Australia,P1,58
Australia,P2,1
Australia,R1,7
Australia,R2,4
Australia,TD,1
Austria,A1,1
Austria,A2,17
Austria,B1,27
Austria,B1/B2,206
Austria,B2,1
Austria,C1/D,73
Austria,C3,1
Austria,CW1,1
Austria,E1,6
Austria,E2,11
Austria,F1,12
Austria,G1,2
Austria,G2,3
Austria,G3,1
Austria,G4,6
Austria,H1B,8
Austria,H2A,1
Austria,I,17
Austria,J1,89
Austria,J2,4
Austria,K1,1
Austria,L1,29
Austria,L2,9
Austria,M1,4
Austria,O1,15
Austria,O2,1
Austria,O3,2
Austria,P1,22
Azerbaijan,A1,4
Azerbaijan,A2,34
Azerbaijan,A3,1
Azerbaijan,B1,3
Azerbaijan,B1/B2,570
Azerbaijan,C1/D,32
Azerbaijan,F1,26
Azerbaijan,F2,9
Azerbaijan,G1,1
Azerbaijan,G2,28
Azerbaijan,G4,6
Azerbaijan,I,7
Azerbaijan,J1,13
Azerbaijan,J2,1
Azerbaijan,K1,1
Azerbaijan,L1,1
Azerbaijan,L2,4
Azerbaijan,P3,2
"Bahamas, The",A1,7
"Bahamas, The",B1/B2,685
"Bahamas, The",C1,1
"Bahamas, The",C1/D,10
"Bahamas, The",C3,2
"Bahamas, The",F1,23
"Bahamas, The",F2,1
"Bahamas, The",G1,4
"Bahamas, The",H1B,6
"Bahamas, The",J1,3
"Bahamas, The",J2,1
"Bahamas, The",K1,1
"Bahamas, The",L1,3
"Bahamas, The",M1,4
"Bahamas, The",P1,5
Bahrain,A1,5
Bahrain,A2,17
Bahrain,B1/B2,176
Bahrain,B2,12
Bahrain,C1/D,1
Bahrain,F1,1
Bahrain,G2,5
Bahrain,I,1
Bahrain,J1,4
Bahrain,M1,1
Bangladesh,A2,74
Bangladesh,A3,1
Bangladesh,B1,3
Bangladesh,B1/B2,875
Bangladesh,C1,1
Bangladesh,C1/D,51
Bangladesh,C3,2
Bangladesh,CW1,1
Bangladesh,F1,21
Bangladesh,F2,15
Bangladesh,G1,7
Bangladesh,G2,159
Bangladesh,G4,24
Bangladesh,H1B,16
Bangladesh,H4,5
Bangladesh,I,13
Bangladesh,J1,11
Bangladesh,J2,3
Bangladesh,L1,3
Bangladesh,L2,4
Bangladesh,O1,1
Bangladesh,P3,17
Bangladesh,R1,1
Bangladesh,T2,1
Bangladesh,TD,1
Barbados,A1,1
Barbados,A2,6
Barbados,B1,1
Barbados,B1/B2,604
Barbados,B2,101
Barbados,C1,2
Barbados,C1/D,3
Barbados,C3,3
Barbados,F1,6
Barbados,G4,2
Barbados,H2B,2
Barbados,J1,4
Barbados,O1,1
Belarus,A1,1
Belarus,B1,1
Belarus,B1/B2,1268
Belarus,B2,1
Belarus,C1,1
Belarus,C1/D,82
Belarus,F1,10
Belarus,F2,2
Belarus,G1,4
Belarus,G2,10
Belarus,G4,11
Belarus,H1B,7
Belarus,H4,8
Belarus,I,3
Belarus,J1,15
Belarus,J2,4
Belarus,K1,5
Belarus,L1,25
Belarus,L2,22
Belarus,O1,4
Belarus,O3,1
Belarus,P1,21
Belarus,P4,4
Belarus,R1,2
Belgium,A2,19
Belgium,B1,5
Belgium,B1/B2,228
Belgium,C1/D,55
Belgium,C3,3
Belgium,E1,1
Belgium,E2,20
Belgium,F1,28
Belgium,F2,4
Belgium,G1,1
Belgium,G2,13
Belgium,G3,2
Belgium,G4,11
Belgium,H1B,11
Belgium,H4,5
Belgium,I,16
Belgium,J1,56
Belgium,J2,13
Belgium,K1,4
Belgium,L1,38
Belgium,L2,26
Belgium,M1,3
Belgium,M2,1
Belgium,NATO2,41
Belgium,NATO4,3
Belgium,O1,21
Belgium,O2,5
Belgium,O3,4
Belgium,P1,19
Belgium,P4,1
Belgium,R1,1
Belgium,R2,1
Belize,A1,4
Belize,A2,12
Belize,B1,1
Belize,B1/B2,160
